0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,06/07/2006,Sri Lanka,VRA Ground,,4.0,0/26,,,6.50,,
2.0,06/08/2006,Scotland,Cambusdoon New Ground,,3.0,0/24,,,7.14,,
3.0,28/11/2006,Bermuda,Senwes Park,,4.0,0/22,,,6.55,,
4.0,18/08/2007,Bermuda,Hazelaarweg,S D Outerbridge (c Mudassar Bukhari),8.0,3/30,,38.00,5.37,1,34.00
,,,,J Robinson (b),,,,,,2,
,,,,A D J Pitcher (lbw),,,,,,3,
5.0,20/08/2007,Bermuda,Hazelaarweg,A D J Pitcher (c T N de Grooth),10.0,1/27,,43.50,4.45,4,32.25
6.0,28/07/2008,Ireland,Castle Avenue,A C Botha (c E S Szwarczynski),5.0,1/16,,40.80,4.26,5,29.00
7.0,29/07/2008,Scotland,Castle Avenue,C J O Smith (c & b),5.2,2/31,,33.71,4.47,6,25.14
,,,,D F Watts (lbw),,,,,,7,
8.0,21/08/2008,Kenya,Hazelaarweg,S O Tikolo (st †J Smits),5.0,3/22,,26.60,4.47,8,19.80
,,,,M A Ouma (st †J Smits),,,,,,9,
,,,,A A Obanda (c †J Smits),,,,,,10,
9.0,01/04/2009,Kenya,Senwes Park,,10.0,0/50,,32.60,4.56,,24.80
10.0,08/04/2009,Bermuda,Senwes Park,J J Tucker (c T N de Grooth),10.0,2/40,,32.17,4.48,11,24.00
,,,,G Blakeney (c B Zuiderent),,,,,,12,
11.0,11/07/2009,Canada,VRA Ground,S Jyoti (c E Schiferli),8.0,2/55,,31.00,4.74,13,24.50
,,,,H S Baidwan (c D L S van Bunge),,,,,,14,
12.0,30/08/2009,Afghanistan,VRA Ground,,10.0,0/32,,35.29,4.55,,26.79
13.0,01/09/2009,Afghanistan,VRA Ground,Nawroz Mangal (st †J Smits),8.0,1/34,,36.13,4.53,15,27.27
14.0,16/02/2010,Kenya,Gymkhana Club Ground,R R Patel (st †A F Buurman),6.0,1/48,,36.13,4.74,16,28.56
15.0,18/02/2010,Kenya,Gymkhana Club Ground,C O Obuya (c A N Kervezee),7.0,1/37,,36.47,4.78,17,29.06
16.0,15/06/2010,Scotland,Hazelaarweg,,10.0,0/50,,40.00,4.80,,32.00
17.0,01/07/2010,Scotland,VRA Ground,R D Berrington (lbw),9.0,1/38,,40.78,4.76,18,32.33
18.0,03/07/2010,Kenya,Sportpark Westvliet,J O Ngoche (b),1.0,1/1,,38.95,4.73,19,30.68
19.0,07/07/2010,Afghanistan,Sportpark Westvliet,,6.0,0/30,,40.84,4.74,,32.26
20.0,16/08/2010,Ireland,Castle Avenue,G C Wilson (c B P Kruger),10.0,2/53,,39.81,4.78,20,31.71
