0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Arun Jaitley Stadium,1,1,0,0,0,0,28,28,28.00,66.67,0,0
Bay Oval,1,1,1,0,1,0,75*,75,,64.66,0,0
Bert Sutcliffe Oval,1,1,0,0,1,0,57,57,57.00,60.64,1,0
Castle Avenue,5,5,0,0,1,0,53,108,21.60,55.38,1,0
Civil Service Cricket Club,2,1,0,0,0,0,15,15,15.00,62.50,1,0
"Cricket, Skating & Curling Club",1,1,0,0,1,0,51,51,51.00,83.61,0,0
Eden Gardens,1,1,0,0,0,0,1,1,1.00,25.00,0,0
Gymkhana Club Ground,3,3,1,0,1,0,56*,97,48.50,80.83,0,0
Hazelaarweg,4,4,1,0,1,0,84*,146,48.67,65.47,0,0
Maple Leaf North - West Ground,1,1,0,0,0,1,0,0,0.00,,0,0
Senwes Park,3,3,0,0,0,0,31,65,21.67,67.71,0,0
Sportpark Westvliet,4,4,0,0,0,0,17,30,7.50,47.62,1,0
Titwood,1,1,0,0,1,0,67,67,67.00,124.07,0,0
VRA Ground,9,9,0,0,3,1,98,300,33.33,75.95,1,0
Warner Park,2,2,0,0,0,0,12,24,12.00,57.14,0,0
Willowmoore Park,1,1,0,0,0,0,10,10,10.00,58.82,1,0
Zahur Ahmed Chowdhury Stadium,1,1,0,0,0,0,28,28,28.00,44.44,0,0
Overall (17),41,40,3,0,10,2,98,1102,29.78,68.24,6,0
