0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,17/02/1996,New Zealand,Reliance Stadium,not out,1*,6,16.67,,1,,16.67
2,22/02/1996,England,Arbab Niaz Stadium,c G P Thorpe b P J Martin,54,93,58.06,,55,55.00,55.56
3,26/02/1996,Pakistan,Gaddafi Stadium,run out,6,6,100.00,,61,30.50,58.10
4,01/03/1996,United Arab Emirates,Gaddafi Stadium,st Imtiaz Abbasi b S F Dukanwala,3,5,60.00,,64,21.33,58.18
5,05/03/1996,South Africa,Rawalpindi Cricket Stadium,run out,27,50,54.00,,91,22.75,56.88
6,16/09/2002,Sri Lanka,R Premadasa Stadium,lbw b W P U J C Vaas,0,1,0.00,,91,18.20,56.52
7,21/09/2002,Pakistan,Sinhalese Sports Club Ground,c Younis Khan b Waqar Younis,7,10,70.00,,98,16.33,57.31
8,12/02/2003,India,Boland Park,c V Sehwag b Z Khan,0,6,0.00,,98,14.00,55.37
9,16/02/2003,England,Buffalo Park,c N Hussain b J M Anderson,2,16,12.50,,100,12.50,51.81
10,20/02/2003,Australia,Senwes Park,c †J P Maher b J N Gillespie,5,17,29.41,,105,11.67,50.00
11,25/02/2003,Pakistan,Boland Park,lbw b Waqar Younis,8,17,47.06,,113,11.30,49.78
12,28/02/2003,Zimbabwe,Queens Sports Club,run out,15,31,48.39,,128,11.64,49.61
13,03/03/2003,Namibia,Mangaung Oval,b L J Burger,5,7,71.43,,133,11.08,50.19
14,04/07/2006,Sri Lanka,VRA Ground,c T M Dilshan b M F Maharoof,2,8,25.00,,135,10.38,49.45
15,06/07/2006,Sri Lanka,VRA Ground,lbw b C R D Fernando,29,44,65.91,,164,11.71,51.74
16,06/08/2006,Scotland,Cambusdoon New Ground,lbw b D R Brown,8,9,88.89,,172,11.47,52.76
17,08/08/2006,Ireland,Cambusdoon New Ground,lbw b D T Johnston,8,18,44.44,,180,11.25,52.33
18,26/11/2006,Canada,Senwes Park,run out,44,73,60.27,,224,13.18,53.72
19,28/11/2006,Bermuda,Senwes Park,not out,63*,101,62.38,,287,16.88,55.41
20,01/12/2006,Canada,Willowmoore Park,c †A Bagai b U Bhatti,0,1,0.00,,287,15.94,55.30
21,02/12/2006,Bermuda,Willowmoore Park,c S K W Kelly b K A D Hurdle,7,15,46.67,,294,15.47,55.06
22,30/01/2007,Canada,Ruaraka Sports Club Ground,not out,77*,103,74.76,,371,19.53,58.24
23,31/01/2007,Kenya,Gymkhana Club Ground,lbw b T M Odoyo,6,20,30.00,,377,18.85,57.38
24,02/02/2007,Scotland,Jaffrey Sports Club Ground,c R R Watson b P J C Hoffmann,8,21,38.10,,385,18.33,56.78
25,04/02/2007,Bermuda,Ruaraka Sports Club Ground,b M O Jones,71,122,58.20,,456,20.73,57.00
26,05/02/2007,Ireland,Gymkhana Club Ground,c W T S Porterfield b A C Botha,39,67,58.21,,495,21.52,57.09
27,16/03/2007,South Africa,Warner Park,b S M Pollock,1,10,10.00,,496,20.67,56.56
28,18/03/2007,Australia,Warner Park,run out,9,29,31.03,,505,20.20,55.74
29,22/03/2007,Scotland,Warner Park,not out,43*,56,76.79,,548,21.92,56.96
30,10/07/2007,West Indies,Castle Avenue,lbw b R Rampaul,10,29,34.48,,558,21.46,56.31
31,11/07/2007,Ireland,Civil Service Cricket Club,c & b A R Cusack,36,59,61.02,,594,22.00,56.57
32,13/07/2007,Scotland,Civil Service Cricket Club,did not bat,-,-,-,,594,22.00,56.57
33,18/08/2007,Bermuda,Hazelaarweg,c †J Edness b G H O'Brien,1,3,33.33,,595,21.25,56.51
34,20/08/2007,Bermuda,Hazelaarweg,st J Edness b R D M Leverock,17,21,80.95,,612,21.10,56.98
35,21/08/2008,Kenya,Hazelaarweg,not out,41*,43,95.35,,653,22.52,58.46
36,01/04/2009,Kenya,Senwes Park,not out,64*,94,68.09,,717,24.72,59.21
37,08/04/2009,Bermuda,Senwes Park,c D L Hemp b R J Trott,1,5,20.00,,718,23.93,59.05
38,19/04/2009,Kenya,Senwes Park,not out,57*,94,60.64,,775,25.83,59.16
39,11/07/2009,Canada,VRA Ground,lbw b H S Baidwan,17,20,85.00,,792,25.55,59.55
40,30/08/2009,Afghanistan,VRA Ground,c †Mohammad Shahzad b Shapoor Zadran,0,4,0.00,,792,24.75,59.37
41,01/09/2009,Afghanistan,VRA Ground,lbw b Nawroz Mangal,0,2,0.00,,792,24.00,59.28
42,16/02/2010,Kenya,Gymkhana Club Ground,run out,21,46,45.65,,813,23.91,58.83
43,18/02/2010,Kenya,Gymkhana Club Ground,lbw b S O Ngoche,56,88,63.64,,869,24.83,59.12
44,15/06/2010,Scotland,Hazelaarweg,b J H Davey,12,14,85.71,,881,24.47,59.37
45,01/07/2010,Scotland,VRA Ground,not out,55*,35,157.14,,936,26.00,61.62
46,03/07/2010,Kenya,Sportpark Westvliet,c †M A Ouma b T M Odoyo,3,12,25.00,,939,25.38,61.33
47,05/07/2010,Canada,Hazelaarweg,not out,35*,66,53.03,,974,26.32,60.99
48,07/07/2010,Afghanistan,Sportpark Westvliet,lbw b Asghar Afghan,19,49,38.78,,993,26.13,60.33
49,09/07/2010,Ireland,VRA Ground,c A van der Merwe b P R Stirling,28,87,32.18,,1021,26.18,58.92
50,10/07/2010,Afghanistan,Hazelaarweg,c Shabir Noori b Mohammad Nabi,8,16,50.00,,1029,25.73,58.83
51,20/07/2010,Bangladesh,Titwood,not out,35*,43,81.40,,1064,26.60,59.38
52,16/08/2010,Ireland,Castle Avenue,c A D Poynter b A van der Merwe,16,33,48.48,,1080,26.34,59.18
53,18/08/2010,Ireland,Castle Avenue,b N G Jones,0,2,0.00,,1080,25.71,59.11
54,22/02/2011,England,Vidarbha Cricket Association Stadium,c P D Collingwood b G P Swann,1,10,10.00,,1081,25.14,58.85
55,28/02/2011,West Indies,Arun Jaitley Stadium,b K A J Roach,1,4,25.00,,1082,24.59,58.77
56,03/03/2011,South Africa,Punjab Cricket Association IS Bindra Stadium,lbw b R J Peterson,15,26,57.69,,1097,24.38,58.76
57,09/03/2011,India,Arun Jaitley Stadium,lbw b Z Khan,0,6,0.00,,1097,23.85,58.57
No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,No. of Innings Played = 56,,
