0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,22/01/1995,West Indies,Eden Park,25,25,25.00,0/27,0,,,0,,,,23 years 129 days
2.0,25/01/1995,West Indies,Basin Reserve,11,36,18.00,1/46,1,73.00,,0,,,,23 years 132 days
3.0,28/01/1995,West Indies,AMI Stadium,9,45,15.00,0/14,1,87.00,,0,,,,23 years 135 days
4.0,29/03/1995,Sri Lanka,Seddon Park,95,140,35.00,,1,87.00,,0,,,,23 years 195 days
5.0,01/04/1995,Sri Lanka,Eden Park,35,175,35.00,0/32,1,119.00,,0,,,,23 years 198 days
6.0,15/11/1995,India,Keenan Stadium,7,182,30.33,0/17,1,136.00,1,1,,,,24 years 61 days
7.0,18/11/1995,India,Gandhi Sports Complex Ground,59,241,34.43,0/9,1,145.00,,1,,,,24 years 64 days
8.0,24/11/1995,India,Nehru Stadium (Pune),11,252,31.50,0/11,1,156.00,,1,,,,24 years 70 days
9.0,26/11/1995,India,Vidarbha Cricket Association Ground,114,366,40.67,1/31,2,93.50,,1,,,,24 years 72 days
10.0,29/11/1995,India,Brabourne Stadium,9,375,37.50,,2,93.50,,1,,,,24 years 75 days
11.0,15/12/1995,Pakistan,Carisbrook,5,380,34.55,2/34,4,55.25,,1,,,,24 years 91 days
12.0,17/12/1995,Pakistan,AMI Stadium,5,385,32.08,0/32,4,63.25,1,2,,,,24 years 93 days
13.0,20/12/1995,Pakistan,Basin Reserve,9,394,30.31,0/22,4,68.75,,2,,,,24 years 96 days
14.0,23/12/1995,Pakistan,Eden Park,20*,414,31.85,3/42,7,45.29,1,3,,,,24 years 99 days
15.0,28/01/1996,Zimbabwe,Eden Park,120,534,38.14,0/28,7,49.29,,3,,,,24 years 135 days
16.0,31/01/1996,Zimbabwe,Basin Reserve,18,552,36.80,0/28,7,53.29,,3,,,,24 years 138 days
17.0,03/02/1996,Zimbabwe,McLean Park,30,582,36.38,0/36,7,58.43,1,4,,,,24 years 141 days
18.0,14/02/1996,England,Sardar Patel Stadium,101,683,40.18,0/6,7,59.29,,4,,,,24 years 152 days
19.0,17/02/1996,Netherlands,Reliance Stadium,0,683,37.94,0/20,7,62.14,2,6,,,,24 years 155 days
20.0,20/02/1996,South Africa,Iqbal Stadium,1,684,36.00,2/10,9,49.44,,6,,,,24 years 158 days
21.0,27/02/1996,United Arab Emirates,Iqbal Stadium,2,686,34.30,0/23,9,52.00,,6,,,,24 years 165 days
22.0,06/03/1996,Pakistan,Gaddafi Stadium,6,692,32.95,0/50,9,57.56,,6,,,,24 years 173 days
23.0,11/03/1996,Australia,MA Chidambaram Stadium,1,693,31.50,1/21,10,53.90,,6,,,,24 years 178 days
24.0,26/03/1996,West Indies,Sabina Park,41,734,31.91,1/28,11,51.55,,6,,,,24 years 193 days
25.0,29/03/1996,West Indies,Queen's Park Oval,2,736,30.67,2/32,13,46.08,2,8,,,,24 years 196 days
26.0,30/03/1996,West Indies,Queen's Park Oval,43,779,31.16,0/43,13,49.38,,8,,,,24 years 197 days
27.0,03/04/1996,West Indies,Bourda,20,799,30.73,1/26,14,47.71,1,9,,,,24 years 201 days
28.0,06/04/1996,West Indies,Arnos Vale Ground,4,803,29.74,0/14,14,48.71,,9,,,,24 years 204 days
29.0,07/11/1996,Sri Lanka,Sharjah Cricket Stadium,0,803,28.68,1/20,15,46.80,1,10,,,,25 years 53 days
30.0,10/11/1996,Pakistan,Sharjah Cricket Stadium,0,803,27.69,2/25,17,42.76,,10,,,,25 years 56 days
31.0,11/11/1996,Sri Lanka,Sharjah Cricket Stadium,66,869,28.97,1/8,18,40.83,,10,,,,25 years 57 days
32.0,13/11/1996,Pakistan,Sharjah Cricket Stadium,6,875,28.23,1/29,19,40.21,,10,,,,25 years 59 days
33.0,15/11/1996,Pakistan,Sharjah Cricket Stadium,8,883,27.59,1/7,20,38.55,,10,,,,25 years 61 days
34.0,04/12/1996,Pakistan,Jinnah Stadium (Gujwranwala),11,894,27.09,2/31,22,36.45,,10,,,,25 years 80 days
35.0,06/12/1996,Pakistan,Jinnah Stadium (Sialkot),20,914,26.88,1/53,23,37.17,1,11,,,,25 years 82 days
36.0,08/12/1996,Pakistan,National Stadium (Karachi),60,974,27.83,0/27,23,38.35,,11,,,,25 years 84 days
37.0,20/02/1997,England,AMI Stadium,50,1024,28.44,0/26,23,39.48,1,12,,,,25 years 158 days
38.0,23/02/1997,England,Eden Park,4,1028,27.78,0/17,23,40.22,1,13,,,,25 years 161 days
39.0,26/02/1997,England,McLean Park,34,1062,27.95,0/19,23,41.04,,13,,,,25 years 164 days
40.0,02/03/1997,England,Eden Park,51,1113,28.54,1/24,24,40.33,,13,,,,25 years 168 days
41.0,04/03/1997,England,Basin Reserve,94,1207,30.18,2/26,26,38.23,,13,,,,25 years 170 days
42.0,25/03/1997,Sri Lanka,AMI Stadium,23,1230,30.00,1/23,27,37.67,,13,,,,25 years 191 days
43.0,27/03/1997,Sri Lanka,Basin Reserve,12,1242,29.57,3/9,30,34.20,,13,,,,25 years 193 days
44.0,09/05/1997,Pakistan,Punjab Cricket Association IS Bindra Stadium,117,1359,31.60,4/43,34,31.44,,13,,,,25 years 236 days
45.0,14/05/1997,India,M Chinnaswamy Stadium,92,1451,32.98,1/25,35,31.26,,13,,,,25 years 241 days
46.0,20/05/1997,Sri Lanka,Lal Bahadur Shastri Stadium,9,1460,32.44,2/37,37,30.57,,13,,,,25 years 247 days
47.0,01/10/1997,Zimbabwe,Queens Sports Club,5,1465,31.85,1/21,38,30.32,,13,,,,26 years 16 days
48.0,04/10/1997,Zimbabwe,Harare Sports Club,36,1501,31.94,2/28,40,29.50,,13,,,,26 years 19 days
49.0,05/10/1997,Zimbabwe,Harare Sports Club,33,1534,31.96,1/22,41,29.32,1,14,,,,26 years 20 days
50.0,06/12/1997,South Africa,Adelaide Oval,0,1534,31.31,2/31,43,28.67,1,15,,,,26 years 82 days
51.0,07/12/1997,Australia,Adelaide Oval,66,1600,32.00,1/35,44,28.82,,15,,,,26 years 83 days
52.0,11/12/1997,South Africa,Bellerive Oval,1,1601,31.39,0/30,44,29.50,,15,,,,26 years 87 days
53.0,17/12/1997,Australia,Melbourne Cricket Ground,20,1621,31.17,,44,29.50,2,17,,,,26 years 93 days
54.0,09/01/1998,South Africa,Brisbane Cricket Ground,29,1650,31.13,0/42,44,30.45,,17,,,,26 years 116 days
55.0,16/01/1998,South Africa,WACA Ground,18,1668,30.89,1/39,45,30.64,,17,,,,26 years 123 days
56.0,21/01/1998,Australia,Melbourne Cricket Ground,13,1681,30.56,0/35,45,31.42,,17,,,,26 years 128 days
57.0,04/02/1998,Zimbabwe,Seddon Park,49,1730,30.89,0/15,45,31.76,2,19,,,,26 years 142 days
58.0,06/02/1998,Zimbabwe,Basin Reserve,67,1797,31.53,0/16,45,32.11,1,20,,,,26 years 144 days
59.0,08/02/1998,Australia,AMI Stadium,23,1820,31.38,0/15,45,32.44,,20,,,,26 years 146 days
60.0,10/02/1998,Australia,Basin Reserve,37,1857,31.47,1/34,46,32.48,,20,,,,26 years 148 days
61.0,12/02/1998,Australia,McLean Park,55,1912,31.87,0/16,46,32.83,,20,,,,26 years 150 days
62.0,14/02/1998,Australia,Eden Park,20,1932,31.67,0/10,46,33.04,1,21,,,,26 years 152 days
63.0,04/03/1998,Zimbabwe,AMI Stadium,69,2001,32.27,0/39,46,33.89,,21,,,,26 years 170 days
64.0,06/03/1998,Zimbabwe,McLean Park,104*,2105,33.95,,46,33.89,2,23,,,,26 years 172 days
65.0,08/03/1998,Zimbabwe,Eden Park,62,2167,34.40,,46,33.89,1,24,,,,26 years 174 days
66.0,17/04/1998,India,Sharjah Cricket Stadium,24,2191,34.23,,46,33.89,,24,,,,26 years 214 days
67.0,18/04/1998,Australia,Sharjah Cricket Stadium,7,2198,33.82,,46,33.89,1,25,,,,26 years 215 days
68.0,20/04/1998,India,Sharjah Cricket Stadium,14,2212,33.52,2/10,48,32.69,,25,,,,26 years 217 days
69.0,21/04/1998,Australia,Sharjah Cricket Stadium,78,2290,34.18,0/8,48,32.85,,25,,,,26 years 218 days
70.0,21/06/1998,Sri Lanka,R Premadasa Stadium,33,2323,34.16,1/2,49,32.22,,25,,,,26 years 279 days
71.0,23/06/1998,India,R Premadasa Stadium,81,2404,34.84,0/12,49,32.47,,25,,,,26 years 281 days
72.0,03/07/1998,India,Sinhalese Sports Club Ground,15,2419,34.56,,49,32.47,,25,,,,26 years 291 days
73.0,05/07/1998,Sri Lanka,Sinhalese Sports Club Ground,74,2493,35.11,0/38,49,33.24,1,26,,,,26 years 293 days
