0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,11/07/2012,West Indies,Warner Park,not out,1*,2,50.00,,1,,50.00
2,14/07/2012,West Indies,Warner Park,not out,1*,2,50.00,,2,,50.00
3,16/07/2012,West Indies,Warner Park,c K A Pollard b D J J Bravo,5,8,62.50,,7,7.00,58.33
4,04/11/2012,Sri Lanka,Pallekele International Cricket Stadium,did not bat,-,-,-,,7,7.00,58.33
5,06/11/2012,Sri Lanka,Pallekele International Cricket Stadium,did not bat,-,-,-,,7,7.00,58.33
6,10/11/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,did not bat,-,-,-,,7,7.00,58.33
7,12/11/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,did not bat,-,-,-,,7,7.00,58.33
8,20/02/2013,England,McLean Park,c C R Woakes b J M Anderson,1,2,50.00,,8,4.00,57.14
9,21/10/2014,South Africa,Bay Oval,not out,21*,33,63.64,,29,14.50,61.70
10,24/10/2014,South Africa,Bay Oval,b A B de Villiers,10,13,76.92,,39,13.00,65.00
11,11/01/2015,Sri Lanka,Hagley Oval,did not bat,-,-,-,,39,13.00,65.00
12,15/01/2015,Sri Lanka,Seddon Park,c H D R L Thirimanne b S M S M Senanayake,13,6,216.67,,52,13.00,78.79
13,23/01/2015,Sri Lanka,University Oval,did not bat,-,-,-,,52,13.00,78.79
14,25/01/2015,Sri Lanka,University Oval,did not bat,-,-,-,,52,13.00,78.79
15,31/01/2015,Pakistan,Westpac Stadium,did not bat,-,-,-,,52,13.00,78.79
16,03/02/2015,Pakistan,McLean Park,did not bat,-,-,-,,52,13.00,78.79
17,14/02/2015,Sri Lanka,Hagley Oval,did not bat,-,-,-,,52,13.00,78.79
18,17/02/2015,Scotland,University Oval,did not bat,-,-,-,,52,13.00,78.79
19,20/02/2015,England,Westpac Stadium,did not bat,-,-,-,,52,13.00,78.79
20,28/02/2015,Australia,Eden Park,not out,0*,2,0.00,,52,13.00,76.47
21,08/03/2015,Afghanistan,McLean Park,did not bat,-,-,-,,52,13.00,76.47
22,13/03/2015,Bangladesh,Seddon Park,did not bat,-,-,-,,52,13.00,76.47
23,21/03/2015,West Indies,Westpac Stadium,did not bat,-,-,-,,52,13.00,76.47
24,24/03/2015,South Africa,Eden Park,did not bat,-,-,-,,52,13.00,76.47
25,29/03/2015,Australia,Melbourne Cricket Ground,not out,0*,1,0.00,,52,13.00,75.36
26,09/06/2015,England,Edgbaston,not out,0*,0,-,,52,13.00,75.36
27,12/06/2015,England,Kennington Oval,did not bat,-,-,-,,52,13.00,75.36
28,05/01/2016,Sri Lanka,Bay Oval,did not bat,-,-,-,,52,13.00,75.36
29,25/01/2016,Pakistan,Basin Reserve,not out,4*,1,400.00,,56,14.00,80.00
30,31/01/2016,Pakistan,Eden Park,did not bat,-,-,-,,56,14.00,80.00
31,03/02/2016,Australia,Eden Park,did not bat,-,-,-,,56,14.00,80.00
32,06/02/2016,Australia,Westpac Stadium,not out,2*,2,100.00,,58,14.50,80.56
33,20/10/2016,India,Arun Jaitley Stadium,not out,5*,4,125.00,,63,15.75,82.89
34,23/10/2016,India,Punjab Cricket Association IS Bindra Stadium,b J J Bumrah,1,3,33.33,,64,12.80,81.01
35,26/10/2016,India,JSCA International Stadium Complex,did not bat,-,-,-,,64,12.80,81.01
36,29/10/2016,India,Dr YS Rajasekhara Reddy Cricket Stadium,not out,1*,5,20.00,,65,13.00,77.38
37,04/12/2016,Australia,Sydney Cricket Ground,not out,1*,1,100.00,,66,13.20,77.65
38,06/12/2016,Australia,Manuka Oval,not out,2*,6,33.33,,68,13.60,74.73
39,09/12/2016,Australia,Melbourne Cricket Ground,c S P D Smith b P J Cummins,1,7,14.29,,69,11.50,70.41
40,26/12/2016,Bangladesh,Hagley Oval,did not bat,-,-,-,,69,11.50,70.41
41,29/12/2016,Bangladesh,Saxton Oval,run out,12,12,100.00,,81,11.57,73.64
42,30/01/2017,Australia,Eden Park,not out,16*,7,228.57,,97,13.86,82.91
43,05/02/2017,Australia,Seddon Park,not out,1*,1,100.00,,98,14.00,83.05
44,19/02/2017,South Africa,Seddon Park,did not bat,-,-,-,,98,14.00,83.05
45,22/02/2017,South Africa,Hagley Oval,did not bat,-,-,-,,98,14.00,83.05
46,25/02/2017,South Africa,Westpac Stadium,c A B de Villiers b D Pretorius,4,15,26.67,,102,12.75,76.69
47,01/03/2017,South Africa,Seddon Park,did not bat,-,-,-,,102,12.75,76.69
48,04/03/2017,South Africa,Eden Park,not out,0*,12,0.00,,102,12.75,70.34
49,02/06/2017,Australia,Edgbaston,c †M S Wade b J R Hazlewood,0,2,0.00,,102,11.33,69.39
50,06/06/2017,England,Sophia Gardens,not out,0*,0,-,,102,11.33,69.39
51,09/06/2017,Bangladesh,Sophia Gardens,did not bat,-,-,-,,102,11.33,69.39
52,22/10/2017,India,Wankhede Stadium,did not bat,-,-,-,,102,11.33,69.39
53,25/10/2017,India,Maharashtra Cricket Association Stadium,not out,2*,2,100.00,,104,11.56,69.80
54,29/10/2017,India,Green Park,did not bat,-,-,-,,104,11.56,69.80
55,20/12/2017,West Indies,Cobham Oval (New),did not bat,-,-,-,,104,11.56,69.80
56,23/12/2017,West Indies,Hagley Oval,did not bat,-,-,-,,104,11.56,69.80
57,26/12/2017,West Indies,Hagley Oval,did not bat,-,-,-,,104,11.56,69.80
58,06/01/2018,Pakistan,Basin Reserve,did not bat,-,-,-,,104,11.56,69.80
59,08/01/2018,Pakistan,Saxton Oval,did not bat,-,-,-,,104,11.56,69.80
60,13/01/2018,Pakistan,University Oval,b Hasan Ali,13,9,144.44,,117,11.70,74.05
61,16/01/2018,Pakistan,Seddon Park,did not bat,-,-,-,,117,11.70,74.05
62,25/02/2018,England,Seddon Park,did not bat,-,-,-,,117,11.70,74.05
63,28/02/2018,England,Bay Oval,run out,2,3,66.67,,119,10.82,73.91
64,03/03/2018,England,Westpac Stadium,did not bat,-,-,-,,119,10.82,73.91
65,06/03/2018,England,University Oval,did not bat,-,-,-,,119,10.82,73.91
66,10/03/2018,England,Hagley Oval,not out,2*,2,100.00,,121,11.00,74.23
67,07/11/2018,Pakistan,Sheikh Zayed Stadium,not out,8*,3,266.67,,129,11.73,77.71
68,09/11/2018,Pakistan,Sheikh Zayed Stadium,b Hasan Ali,1,3,33.33,,130,10.83,76.92
69,11/11/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-,-,,130,10.83,76.92
70,03/01/2019,Sri Lanka,Bay Oval,did not bat,-,-,-,,130,10.83,76.92
71,05/01/2019,Sri Lanka,Bay Oval,did not bat,-,-,-,,130,10.83,76.92
72,23/01/2019,India,McLean Park,c R G Sharma b Kuldeep Yadav,1,10,10.00,,131,10.08,73.18
73,26/01/2019,India,Bay Oval,not out,10*,4,250.00,,141,10.85,77.05
74,28/01/2019,India,Bay Oval,c Mohammed Shami b B Kumar,2,4,50.00,,143,10.21,76.47
75,31/01/2019,India,Seddon Park,did not bat,-,-,-,,143,10.21,76.47
76,03/02/2019,India,Westpac Stadium,c Mohammed Shami b B Kumar,1,3,33.33,,144,9.60,75.79
77,13/02/2019,Bangladesh,McLean Park,did not bat,-,-,-,,144,9.60,75.79
78,16/02/2019,Bangladesh,Hagley Oval,did not bat,-,-,-,,144,9.60,75.79
79,20/02/2019,Bangladesh,University Oval,did not bat,-,-,-,,144,9.60,75.79
80,01/06/2019,Sri Lanka,Sophia Gardens,did not bat,-,-,-,,144,9.60,75.79
81,05/06/2019,Bangladesh,Kennington Oval,did not bat,-,-,-,,144,9.60,75.79
82,08/06/2019,Afghanistan,The Cooper Associates County Ground,did not bat,-,-,-,,144,9.60,75.79
83,19/06/2019,South Africa,Edgbaston,did not bat,-,-,-,,144,9.60,75.79
84,22/06/2019,West Indies,Old Trafford,did not bat,-,-,-,,144,9.60,75.79
85,26/06/2019,Pakistan,Edgbaston,did not bat,-,-,-,,144,9.60,75.79
86,29/06/2019,Australia,Lord's,not out,2*,7,28.57,,146,9.73,74.11
87,03/07/2019,England,Riverside Ground,st J C Buttler b A U Rashid,4,7,57.14,,150,9.38,73.53
