0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,30/03/1974,Australia,Carisbrook,30*,30,,0/38,0,,,0,,,,24 years 171 days
2.0,31/03/1974,Australia,AMI Stadium,-,30,,1/58,1,96.00,,0,,,,24 years 172 days
3.0,18/06/1975,West Indies,Kennington Oval,10,40,40.00,0/23,1,119.00,,0,,,,25 years 250 days
4.0,21/02/1976,India,AMI Stadium,-,40,40.00,2/20,3,46.33,1,1,,,,26 years 133 days
5.0,22/02/1976,India,Eden Park,31,71,35.50,1/33,4,43.00,,1,,,,26 years 134 days
6.0,16/10/1976,Pakistan,Jinnah Stadium (Sialkot),24,95,31.67,2/36,6,34.67,,1,,,,27 years 6 days
7.0,15/07/1978,England,North Marine Road Ground,23,118,29.50,5/28,11,21.45,,1,,,,28 years 278 days
8.0,17/07/1978,England,Old Trafford,60,178,35.60,0/84,11,29.09,,1,,,,28 years 280 days
9.0,09/06/1979,Sri Lanka,Trent Bridge,-,178,35.60,1/45,12,30.42,,1,,,,29 years 241 days
10.0,13/06/1979,India,Headingley,2,180,30.00,3/36,15,26.73,1,2,,,,29 years 245 days
11.0,16/06/1979,West Indies,Trent Bridge,1,181,25.86,2/48,17,26.41,,2,,,,29 years 248 days
12.0,20/06/1979,England,Old Trafford,14,195,24.38,1/47,18,27.56,,2,,,,29 years 252 days
13.0,06/02/1980,West Indies,AMI Stadium,1,196,21.78,2/37,20,26.65,,2,,,,30 years 118 days
14.0,23/11/1980,Australia,Adelaide Oval,4*,200,22.22,3/58,23,25.70,,2,,,,31 years 44 days
15.0,25/11/1980,Australia,Sydney Cricket Ground,16,216,21.60,0/41,23,27.48,,2,,,,31 years 46 days
16.0,09/12/1980,India,WACA Ground,26,242,22.00,2/18,25,26.00,,2,,,,31 years 60 days
17.0,21/12/1980,India,Brisbane Cricket Ground,27*,269,24.45,2/53,27,26.04,1,3,,,,31 years 72 days
18.0,23/12/1980,India,Adelaide Oval,39,308,25.67,0/30,27,27.15,1,4,,,,31 years 74 days
19.0,10/01/1981,India,Melbourne Cricket Ground,-,308,25.67,1/39,28,27.57,,4,,,,31 years 92 days
20.0,13/01/1981,Australia,Sydney Cricket Ground,7,315,24.23,1/48,29,28.28,,4,,,,31 years 95 days
21.0,18/01/1981,India,Brisbane Cricket Ground,0,315,22.50,0/54,29,30.14,1,5,,,,31 years 100 days
22.0,21/01/1981,Australia,Sydney Cricket Ground,-,315,22.50,2/37,31,29.39,,5,,,,31 years 103 days
23.0,29/01/1981,Australia,Sydney Cricket Ground,18,333,22.20,0/34,31,30.48,1,6,,,,31 years 111 days
24.0,31/01/1981,Australia,Melbourne Cricket Ground,14,347,21.69,1/23,32,30.25,,6,,,,31 years 113 days
25.0,01/02/1981,Australia,Melbourne Cricket Ground,12,359,21.12,0/34,32,31.31,,6,,,,31 years 114 days
26.0,03/02/1981,Australia,Sydney Cricket Ground,7,366,20.33,,32,31.31,,6,,,,31 years 116 days
27.0,14/02/1981,India,Eden Park,12*,378,21.00,2/33,34,30.44,,6,,,,31 years 127 days
28.0,13/02/1982,Australia,Eden Park,18*,396,22.00,1/31,35,30.46,,6,,,,32 years 126 days
29.0,17/02/1982,Australia,Carisbrook,3,399,21.00,1/24,36,30.28,,6,,,,32 years 130 days
30.0,20/02/1982,Australia,Basin Reserve,14,413,20.65,1/12,37,29.78,,6,,,,32 years 133 days
31.0,09/01/1983,Australia,Melbourne Cricket Ground,7,420,20.00,0/30,37,30.59,,6,,,,33 years 90 days
32.0,13/01/1983,England,Melbourne Cricket Ground,36,456,20.73,0/64,37,32.32,,6,,,,33 years 94 days
33.0,15/01/1983,England,Brisbane Cricket Ground,12,468,20.35,1/29,38,32.24,1,7,,,,33 years 96 days
34.0,18/01/1983,Australia,Sydney Cricket Ground,2,470,19.58,4/16,42,29.55,2,9,,,,33 years 99 days
35.0,20/01/1983,England,Sydney Cricket Ground,11,481,19.24,0/31,42,30.29,,9,,,,33 years 101 days
36.0,22/01/1983,Australia,Melbourne Cricket Ground,0,481,18.50,1/49,43,30.72,,9,,,,33 years 103 days
37.0,29/01/1983,England,Adelaide Oval,49,530,19.63,0/45,43,31.77,,9,,,,33 years 110 days
38.0,31/01/1983,Australia,Adelaide Oval,0,530,18.93,2/41,45,31.27,,9,,,,33 years 112 days
39.0,05/02/1983,England,WACA Ground,-,530,18.93,0/21,45,31.73,,9,,,,33 years 117 days
40.0,06/02/1983,Australia,WACA Ground,1,531,18.31,0/20,45,32.18,,9,,,,33 years 118 days
41.0,09/02/1983,Australia,Sydney Cricket Ground,9,540,18.00,1/27,46,32.07,,9,,,,33 years 121 days
42.0,13/02/1983,Australia,Melbourne Cricket Ground,52,592,19.10,1/56,47,32.57,,9,,,,33 years 125 days
43.0,19/02/1983,England,Eden Park,19,611,19.09,3/28,50,31.18,,9,,,,33 years 131 days
44.0,23/02/1983,England,Basin Reserve,44,655,19.85,3/38,53,30.13,,9,,,,33 years 135 days
45.0,26/02/1983,England,AMI Stadium,21,676,19.88,2/13,55,29.27,,9,,,,33 years 138 days
46.0,02/03/1983,Sri Lanka,Carisbrook,37,713,20.37,0/10,55,29.45,,9,,,,33 years 142 days
47.0,17/03/1983,Australia,Sydney Cricket Ground,1,714,19.83,0/28,55,29.96,1,10,,,,33 years 157 days
48.0,19/03/1983,Sri Lanka,McLean Park,-,714,19.83,2/25,57,29.35,,10,,,,33 years 159 days
49.0,20/03/1983,Sri Lanka,Eden Park,18,732,19.78,4/23,61,27.80,,10,,,,33 years 160 days
50.0,09/06/1983,England,Kennington Oval,1,733,19.29,1/57,62,28.27,,10,,,,33 years 241 days
51.0,11/06/1983,Pakistan,Edgbaston,4,737,18.90,2/21,64,27.72,1,11,,,,33 years 243 days
52.0,13/06/1983,Sri Lanka,County Ground (Bristol),-,737,18.90,0/35,64,28.27,,11,,,,33 years 245 days
53.0,15/06/1983,England,Edgbaston,5,742,18.55,3/44,67,27.66,1,12,,,,33 years 247 days
54.0,18/06/1983,Sri Lanka,County Ground (Derby),6,748,18.24,1/35,68,27.76,,12,,,,33 years 250 days
55.0,20/06/1983,Pakistan,Trent Bridge,0,748,17.81,0/45,68,28.43,1,13,,,,33 years 252 days
56.0,18/02/1984,England,AMI Stadium,23,771,17.93,2/41,70,28.20,1,14,,,,34 years 130 days
57.0,22/02/1984,England,Basin Reserve,0,771,17.52,0/33,70,28.67,,14,,,,34 years 134 days
58.0,25/02/1984,England,Eden Park,-,771,17.52,0/31,70,29.11,,14,,,,34 years 137 days
59.0,03/03/1984,Sri Lanka,Sinhalese Sports Club Ground,1,772,17.16,1/35,71,29.20,,14,,,,34 years 144 days
60.0,31/03/1984,Sri Lanka,Tyronne Fernando Stadium,5,777,16.89,1/11,72,28.94,1,15,,,,34 years 172 days
61.0,01/04/1984,Sri Lanka,P Sara Oval,40*,817,17.76,2/14,74,28.35,,15,,,,34 years 173 days
62.0,03/11/1984,Sri Lanka,P Sara Oval,4,821,17.47,1/37,75,28.47,,15,,,,35 years 24 days
63.0,12/11/1984,Pakistan,Arbab Niaz Stadium,7,828,17.25,2/38,77,28.22,1,16,,,,35 years 33 days
64.0,23/11/1984,Pakistan,Iqbal Stadium,10,838,17.10,0/25,77,28.55,,16,,,,35 years 44 days
65.0,02/12/1984,Pakistan,Jinnah Stadium (Sialkot),0,838,16.76,2/30,79,28.20,,16,,,,35 years 53 days
66.0,07/12/1984,Pakistan,Ibn-e-Qasim Bagh Stadium,2,840,16.47,0/42,79,28.73,1,17,,,,35 years 58 days
67.0,12/01/1985,Pakistan,McLean Park,-,840,16.47,2/27,81,28.36,,17,,,,35 years 94 days
68.0,15/01/1985,Pakistan,Seddon Park,-,840,16.47,0/58,81,29.07,,17,,,,35 years 97 days
69.0,06/02/1985,Pakistan,AMI Stadium,8,848,16.31,3/39,84,28.50,,17,,,,35 years 119 days
70.0,19/02/1985,West Indies,Sydney Cricket Ground,-,848,16.31,,84,28.50,,17,,,,35 years 132 days
71.0,23/02/1985,Sri Lanka,Melbourne Cricket Ground,25,873,16.47,1/25,85,28.46,,17,,,,35 years 136 days
72.0,05/03/1985,India,Sydney Cricket Ground,39,912,16.89,1/35,86,28.53,,17,,,,35 years 146 days
73.0,09/03/1985,West Indies,Sydney Cricket Ground,5,917,16.67,0/39,86,28.99,,17,,,,35 years 150 days
74.0,20/03/1985,West Indies,Antigua Recreation Ground,20,937,16.73,1/42,87,29.14,1,18,,,,35 years 161 days
75.0,27/03/1985,West Indies,Queen's Park Oval,-,937,16.73,,87,29.14,1,19,,,,35 years 168 days
76.0,14/04/1985,West Indies,Albion Sports Complex,33,970,17.02,1/69,88,29.59,,19,,,,35 years 186 days
