0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,04/12/2016,Australia,Sydney Cricket Ground,0,0,0.00,1/73,1,73.00,,0,,,,25 years 174 days
2.0,09/12/2016,Australia,Melbourne Cricket Ground,4*,4,4.00,0/50,1,123.00,,0,,,,25 years 179 days
3.0,26/12/2016,Bangladesh,Hagley Oval,-,4,4.00,3/54,4,44.25,,0,,,,25 years 196 days
4.0,29/12/2016,Bangladesh,Saxton Oval,4,8,4.00,1/53,5,46.00,,0,,,,25 years 199 days
5.0,30/01/2017,Australia,Eden Park,3*,11,5.50,2/44,7,39.14,,0,,,,25 years 231 days
6.0,05/02/2017,Australia,Seddon Park,0,11,3.67,0/62,7,48.00,,0,,,,25 years 237 days
7.0,25/02/2017,South Africa,Westpac Stadium,4,15,3.75,1/71,8,50.88,,0,,,,25 years 257 days
8.0,20/12/2017,West Indies,Cobham Oval (New),-,15,3.75,2/49,10,45.60,1,1,,,,26 years 190 days
9.0,23/12/2017,West Indies,Hagley Oval,-,15,3.75,3/17,13,36.38,1,2,,,,26 years 193 days
10.0,26/12/2017,West Indies,Hagley Oval,-,15,3.75,0/24,13,38.23,1,3,,,,26 years 196 days
11.0,06/01/2018,Pakistan,Basin Reserve,-,15,3.75,0/40,13,41.31,,3,,,,26 years 207 days
12.0,08/01/2018,Pakistan,Saxton Oval,-,15,3.75,3/39,16,36.00,,3,,,,26 years 209 days
13.0,13/01/2018,Pakistan,University Oval,6*,21,5.25,2/28,18,33.56,,3,,,,26 years 214 days
14.0,16/01/2018,Pakistan,Seddon Park,-,21,5.25,0/32,18,35.33,,3,,,,26 years 217 days
15.0,18/01/2018,Pakistan,Basin Reserve,-,21,5.25,2/64,20,35.00,1,4,,,,26 years 219 days
16.0,28/02/2018,England,Bay Oval,19,40,8.00,1/48,21,35.62,,4,,,,26 years 260 days
17.0,07/11/2018,Pakistan,Sheikh Zayed Stadium,3*,43,8.60,3/36,24,32.67,,4,,,,27 years 147 days
18.0,09/11/2018,Pakistan,Sheikh Zayed Stadium,1*,44,8.80,3/60,27,31.26,,4,,,,27 years 149 days
19.0,11/11/2018,Pakistan,Dubai International Cricket Stadium,-,44,8.80,5/45,32,27.78,,4,,,,27 years 151 days
20.0,03/01/2019,Sri Lanka,Bay Oval,-,44,8.80,2/65,34,28.06,1,5,,,,27 years 204 days
21.0,08/01/2019,Sri Lanka,Saxton Oval,-,44,8.80,4/40,38,26.16,1,6,,,,27 years 209 days
22.0,23/01/2019,India,McLean Park,0,44,7.33,1/41,39,26.54,,6,,,,27 years 224 days
23.0,26/01/2019,India,Bay Oval,12,56,8.00,2/81,41,27.22,1,7,,,,27 years 227 days
24.0,28/01/2019,India,Bay Oval,2*,58,8.29,0/57,41,28.61,,7,,,,27 years 229 days
25.0,13/02/2019,Bangladesh,McLean Park,-,58,8.29,2/44,43,28.30,,7,,,,27 years 245 days
26.0,16/02/2019,Bangladesh,Hagley Oval,-,58,8.29,3/43,46,27.39,1,8,,,,27 years 248 days
27.0,20/02/2019,Bangladesh,University Oval,-,58,8.29,0/50,46,28.48,,8,,,,27 years 252 days
28.0,01/06/2019,Sri Lanka,Sophia Gardens,-,58,8.29,3/22,49,27.18,,8,,,,27 years 353 days
29.0,05/06/2019,Bangladesh,Kennington Oval,4*,62,8.86,1/40,50,27.44,,8,,,,27 years 357 days
30.0,08/06/2019,Afghanistan,The Cooper Associates County Ground,-,62,8.86,4/37,54,26.09,,8,,,,27 years 360 days
31.0,19/06/2019,South Africa,Edgbaston,-,62,8.86,3/59,57,25.75,,8,,,,28 years 6 days
32.0,22/06/2019,West Indies,Old Trafford,-,62,8.86,3/59,60,25.45,,8,,,,28 years 9 days
33.0,26/06/2019,Pakistan,Edgbaston,-,62,8.86,1/50,61,25.85,1,9,,,,28 years 13 days
34.0,29/06/2019,Australia,Lord's,0,62,7.75,2/49,63,25.81,,9,,,,28 years 16 days
35.0,09/07/2019,India,Old Trafford,-,62,7.75,1/43,64,26.08,,9,,,,28 years 26 days
36.0,14/07/2019,England,Lord's,-,62,7.75,3/50,67,25.66,1,10,,,,28 years 31 days
