0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,9.1,3,37,4,1,4/37,9.25,13.75,4.04
Australia,46.0,1,278,5,0,2/44,55.60,55.20,6.04
Bangladesh,57.0,1,284,10,0,3/43,28.40,34.20,4.98
England,18.0,0,98,4,0,3/50,24.50,27.00,5.44
India,38.0,1,222,4,0,2/81,55.50,57.00,5.84
Pakistan,76.3,0,394,19,1,5/45,20.74,24.16,5.15
South Africa,20.0,0,130,4,0,3/59,32.50,30.00,6.50
Sri Lanka,24.2,0,127,9,1,4/40,14.11,16.22,5.22
West Indies,28.0,0,149,8,0,3/17,18.63,21.00,5.32
Overall (9),317.0,6,1719,67,3,5/45,25.66,28.39,5.42
