0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,11/01/1986,India,Brisbane Cricket Ground,D B Vengsarkar (c J V Coney),9.0,1/39,,54.00,4.33,1,39.00
2.0,14/01/1986,Australia,Sydney Cricket Ground,D C Boon (lbw),7.1,1/30,,48.50,4.27,2,34.50
3.0,18/01/1986,India,WACA Ground,S M Gavaskar (c M D Crowe),10.0,1/20,,52.33,3.40,3,29.67
4.0,19/01/1986,Australia,WACA Ground,,8.0,0/23,,68.33,3.28,,37.33
5.0,25/01/1986,India,Adelaide Oval,M Amarnath (c †E B McSweeney),10.0,4/30,,37.86,3.22,4,20.29
,,,,A Malhotra (c J F Reid),,,,,,5,
,,,,K Srikkanth (c J V Coney),,,,,,6,
,,,,D B Vengsarkar (c M D Crowe),,,,,,7,
6.0,27/01/1986,Australia,Adelaide Oval,G R J Matthews (lbw),5.0,2/21,,32.78,3.32,8,18.11
,,,,C J McDermott (c J G Wright),,,,,,9,
7.0,29/01/1986,Australia,Sydney Cricket Ground,D C Boon (b),10.0,1/48,,35.50,3.57,10,21.10
8.0,02/02/1986,India,North Tasmania Cricket Association Ground,M Amarnath (c †E B McSweeney),9.0,3/54,,31.46,3.89,11,20.38
,,,,Kapil Dev (lbw),,,,,,12,
,,,,A Malhotra (c M C Snedden),,,,,,13,
9.0,19/03/1986,Australia,Carisbrook,W B Phillips (c †T E Blain),10.0,1/39,,33.50,3.89,14,21.71
10.0,22/03/1986,Australia,AMI Stadium,D C Boon (c & b),8.0,1/51,,34.47,4.12,15,23.67
11.0,26/03/1986,Australia,Basin Reserve,G R J Matthews (b),10.0,1/45,,36.06,4.16,16,25.00
12.0,29/03/1986,Australia,Eden Park,,8.0,0/55,,39.06,4.37,,28.44
13.0,03/01/1988,Australia,WACA Ground,,7.0,0/48,,41.69,4.52,,31.44
14.0,07/01/1988,Australia,Melbourne Cricket Ground,A R Border (c J G Wright),9.0,2/41,,40.06,4.53,17,30.22
,,,,G R Marsh (c D N Patel),,,,,,18,
15.0,09/01/1988,Sri Lanka,Adelaide Oval,A P Gurusinha (c & b),10.0,3/40,,37.19,4.49,19,27.81
,,,,R S Madugalle (c M D Crowe),,,,,,20,
,,,,M A R Samarasekera (b),,,,,,21,
16.0,12/01/1988,Sri Lanka,Bellerive Oval,P A de Silva (c E J Chatfield),10.0,1/51,,38.23,4.53,22,28.86
17.0,16/01/1988,Sri Lanka,Brisbane Cricket Ground,,8.0,0/39,,40.41,4.55,,30.64
18.0,17/01/1988,Australia,Brisbane Cricket Ground,,6.2,0/31,,42.14,4.56,,32.05
19.0,20/01/1988,Australia,Sydney Cricket Ground,D M Jones (c J G Bracewell),6.0,1/31,,41.87,4.59,23,32.00
