0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,08/11/1992,Zimbabwe,Harare Sports Club,c †A Flower b E A Brandes,5,9,55.56,,5,5.00,55.56
2,12/12/1992,Sri Lanka,P Sara Oval,st A G D Wickremasinghe b S T Jayasuriya,54,108,50.00,,59,29.50,50.43
3,13/12/1992,Sri Lanka,R Premadasa Stadium,c †A G D Wickremasinghe b A P Gurusinha,14,36,38.89,,73,24.33,47.71
4,13/03/1994,Pakistan,Eden Park,b Waqar Younis,3,24,12.50,,76,19.00,42.94
5,16/03/1994,Pakistan,AMI Stadium,not out,68*,109,62.39,,144,36.00,50.35
6,25/03/1994,India,McLean Park,c †N R Mongia b J Srinath,8,24,33.33,,152,30.40,49.03
7,27/03/1994,India,Eden Park,c M Azharuddin b Kapil Dev,0,2,0.00,,152,25.33,48.72
8,30/03/1994,India,Basin Reserve,st N R Mongia b A Kumble,21,45,46.67,,173,24.71,48.46
9,16/04/1994,Australia,Sharjah Cricket Stadium,lbw b S K Warne,23,49,46.94,,196,24.50,48.28
10,18/04/1994,Sri Lanka,Sharjah Cricket Stadium,run out,5,9,55.56,,201,22.33,48.43
11,20/04/1994,Pakistan,Sharjah Cricket Stadium,c †Rashid Latif b Wasim Akram,11,19,57.89,,212,21.20,48.85
12,26/10/1994,West Indies,Nehru Stadium (Margao),hit wicket b C A Walsh,6,20,30.00,,218,19.82,48.02
13,28/10/1994,India,Reliance Stadium,c A Kumble b M M Prabhakar,8,25,32.00,,226,18.83,47.18
14,01/11/1994,West Indies,Nehru Stadium (Guwahati),b C A Walsh,9,26,34.62,,235,18.08,46.53
15,18/12/1994,Sri Lanka,Buffalo Park,b R S Kalpage,32,49,65.31,,267,19.07,48.19
16,19/12/1994,Pakistan,Buffalo Park,b Akram Raza,44,69,63.77,,311,20.73,49.92
No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,No. of Innings Played = 16,,
