0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,8.0,0,50,0,0,0/50,,,6.25
Australia,55.1,1,369,12,0,3/41,30.75,27.58,6.69
Bangladesh,46.2,3,227,9,1,4/47,25.22,30.89,4.90
England,55.0,2,345,8,0,2/54,43.13,41.25,6.27
India,57.2,5,247,14,2,4/35,17.64,24.57,4.31
Ireland,8.0,1,36,3,0,3/36,12.00,16.00,4.50
Pakistan,83.0,2,430,20,3,5/30,21.50,24.90,5.18
South Africa,26.0,5,114,2,0,2/40,57.00,78.00,4.38
Sri Lanka,73.4,5,386,21,3,5/40,18.38,21.05,5.24
West Indies,21.0,1,130,3,0,2/18,43.33,42.00,6.19
Zimbabwe,17.0,2,103,0,0,0/45,,,6.06
Overall (11),450.3,27,2437,92,9,5/30,26.49,29.38,5.41
