0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,01/03/1990,India,Carisbrook,Kapil Dev (c †I D S Smith),6.0,1/14,,36.00,2.33,1,14.00
2.0,04/03/1990,Australia,AMI Stadium,D C Boon (c M D Crowe),10.0,1/32,,48.00,2.88,2,23.00
3.0,06/03/1990,India,Basin Reserve,,10.0,0/51,,78.00,3.73,,48.50
4.0,10/03/1990,Australia,Eden Park,,10.0,0/45,,108.00,3.94,,71.00
5.0,11/03/1990,Australia,Eden Park,,7.1,0/27,,129.50,3.92,,84.50
6.0,13/01/1991,Australia,Sydney Cricket Ground,,8.0,0/36,,153.50,4.01,,102.50
7.0,15/01/1991,Australia,Melbourne Cricket Ground,,10.0,0/32,,183.50,3.87,,118.50
8.0,26/01/1991,Sri Lanka,McLean Park,P A de Silva (b),10.0,2/25,,106.75,3.68,3,65.50
,,,,H P Tillakaratne (b),,,,,,4,
9.0,28/01/1991,Sri Lanka,Eden Park,P A de Silva (c †I D S Smith),10.0,1/37,,97.40,3.68,5,59.80
10.0,06/02/1991,Sri Lanka,Carisbrook,S T Jayasuriya (c †I D S Smith),10.0,1/36,,91.17,3.67,6,55.83
11.0,09/02/1991,England,AMI Stadium,,10.0,0/47,,101.17,3.78,,63.67
12.0,13/02/1991,England,Basin Reserve,,9.0,0/28,,110.17,3.72,,68.33
13.0,16/02/1991,England,Eden Park,G A Gooch (b),10.0,1/35,,103.00,3.70,7,63.57
14.0,11/01/1992,England,Eden Park,,9.0,0/36,,110.71,3.72,,68.71
15.0,12/02/1992,England,Carisbrook,G A Gooch (c †I D S Smith),10.0,2/24,,92.78,3.63,8,56.11
,,,,R A Smith (b),,,,,,9,
16.0,15/02/1992,England,AMI Stadium,G A Hick (c M J Greatbatch),6.0,1/34,,87.10,3.71,10,53.90
17.0,22/02/1992,Australia,Eden Park,G R Marsh (c R T Latham),10.0,3/30,,71.62,3.67,11,43.77
,,,,M E Waugh (lbw),,,,,,12,
,,,,S R Waugh (c & b),,,,,,13,
18.0,25/02/1992,Sri Lanka,Seddon Park,,10.0,0/29,,76.23,3.62,,46.00
19.0,29/02/1992,South Africa,Eden Park,,10.0,0/29,,80.85,3.58,,48.23
20.0,03/03/1992,Zimbabwe,McLean Park,D L Houghton (b),4.0,3/16,,67.19,3.59,14,40.19
,,,,A Flower (b),,,,,,15,
,,,,I P Butchart (c C L Cairns),,,,,,16,
21.0,08/03/1992,West Indies,Eden Park,M D Marshall (b),10.0,2/41,,63.06,3.62,17,38.00
,,,,B C Lara (c K R Rutherford),,,,,,18,
22.0,12/03/1992,India,Carisbrook,,9.0,0/43,,66.06,3.67,,40.39
