0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,81.0,5,401,9,0,2/39,44.56,54.00,4.95
Bangladesh,10.0,1,30,0,0,0/30,,,3.00
England,13.0,2,46,3,0,3/26,15.33,26.00,3.54
India,157.3,5,753,18,1,4/38,41.83,52.50,4.78
Pakistan,34.0,2,179,1,0,1/60,179.00,204.00,5.26
Scotland,10.0,3,16,1,0,1/16,16.00,60.00,1.60
South Africa,75.3,3,384,7,0,3/37,54.86,64.71,5.09
Sri Lanka,50.0,3,256,5,0,3/43,51.20,60.00,5.12
United Arab Emirates,9.0,1,34,2,0,2/34,17.00,27.00,3.78
West Indies,67.2,4,308,9,0,3/48,34.22,44.89,4.57
Zimbabwe,62.0,8,215,9,0,3/29,23.89,41.33,3.47
Overall (11),569.2,37,2622,64,1,4/38,40.97,53.38,4.61
