0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,20/05/1997,Sri Lanka,Lal Bahadur Shastri Stadium,P A de Silva (b),9.0,3/44,,18.00,4.89,1,14.67
,,,,S T Jayasuriya (c C L Cairns),,,,,,2,
,,,,R S Mahanama (c C D McMillan),,,,,,3,
2.0,01/10/1997,Zimbabwe,Queens Sports Club,A D R Campbell (c †A C Parore),8.0,2/28,,20.40,4.24,4,14.40
,,,,G J Rennie (c S P Fleming),,,,,,5,
3.0,04/10/1997,Zimbabwe,Harare Sports Club,A Flower (c C D McMillan),8.0,1/40,,25.00,4.48,6,18.67
4.0,05/10/1997,Zimbabwe,Harare Sports Club,,3.0,0/22,,28.00,4.79,,22.33
5.0,06/12/1997,South Africa,Adelaide Oval,J H Kallis (c N J Astle),7.0,2/36,,26.25,4.86,7,21.25
,,,,L Klusener (c M J Horne),,,,,,8,
6.0,07/12/1997,Australia,Adelaide Oval,,4.0,0/23,,29.25,4.95,,24.13
7.0,11/12/1997,South Africa,Bellerive Oval,G Kirsten (b),7.0,2/42,,27.60,5.11,9,23.50
,,,,H H Gibbs (c D L Vettori),,,,,,10,
8.0,17/12/1997,Australia,Melbourne Cricket Ground,,10.0,0/43,,33.60,4.96,,27.80
9.0,09/01/1998,South Africa,Brisbane Cricket Ground,,6.0,0/50,,37.20,5.29,,32.80
10.0,14/01/1998,Australia,Sydney Cricket Ground,P R Reiffel (c S P Fleming),9.5,4/51,,30.79,5.28,11,27.07
,,,,A C Gilchrist (c C D McMillan),,,,,,12,
,,,,I J Harvey (c D J Nash),,,,,,13,
,,,,J P Maher (c D L Vettori),,,,,,14,
11.0,16/01/1998,South Africa,WACA Ground,L Klusener (c D L Vettori),6.0,1/27,,31.13,5.22,15,27.07
12.0,21/01/1998,Australia,Melbourne Cricket Ground,,4.0,0/23,,32.73,5.24,,28.60
13.0,04/02/1998,Zimbabwe,Seddon Park,M Mbangwa (c C L Cairns),8.2,1/34,,33.81,5.13,16,28.94
14.0,06/02/1998,Zimbabwe,Basin Reserve,A D R Campbell (c C Z Harris),10.0,5/39,,28.62,5.01,17,23.90
,,,,J A Rennie (b),,,,,,18,
,,,,H H Streak (c †A C Parore),,,,,,19,
,,,,C B Wishart (c N J Astle),,,,,,20,
,,,,M W Goodwin (c S P Fleming),,,,,,21,
15.0,08/02/1998,Australia,AMI Stadium,,4.0,0/31,,29.76,5.12,,25.38
16.0,10/02/1998,Australia,Basin Reserve,S R Waugh (c S P Fleming),9.0,3/55,,28.29,5.20,22,24.50
,,,,D S Lehmann (c D L Vettori),,,,,,23,
,,,,A C Gilchrist (c C D McMillan),,,,,,24,
