0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,04/01/2001,Zimbabwe,Westpac Stadium,-,0,,0/17,0,,,0,,,,22 years 160 days
2.0,07/01/2001,Zimbabwe,Eden Park,21,21,21.00,0/21,0,,,0,,,,22 years 163 days
3.0,03/02/2001,Sri Lanka,Westpac Stadium,2,23,11.50,2/20,2,29.00,,0,,,,22 years 190 days
4.0,06/02/2001,Sri Lanka,Eden Park,11,34,11.33,0/16,2,37.00,1,1,,,,22 years 193 days
5.0,08/02/2001,Sri Lanka,Seddon Park,24,58,14.50,0/19,2,46.50,1,2,,,,22 years 195 days
6.0,11/02/2001,Sri Lanka,AMI Stadium,59,117,23.40,0/23,2,58.00,,2,,,,22 years 198 days
7.0,18/02/2001,Pakistan,Eden Park,16,133,22.17,,2,58.00,1,3,,,,22 years 205 days
8.0,25/02/2001,Pakistan,AMI Stadium,1,134,19.14,1/21,3,45.67,,3,,,,22 years 212 days
9.0,28/02/2001,Pakistan,Carisbrook,16*,150,21.43,2/49,5,37.20,,3,,,,22 years 215 days
10.0,10/04/2001,Sri Lanka,Sharjah Cricket Stadium,4,154,19.25,3/40,8,28.25,1,4,,,,22 years 256 days
11.0,12/04/2001,Pakistan,Sharjah Cricket Stadium,10,164,18.22,0/24,8,31.25,,4,,,,22 years 258 days
12.0,15/04/2001,Pakistan,Sharjah Cricket Stadium,6,170,17.00,1/23,9,30.33,,4,,,,22 years 261 days
13.0,17/04/2001,Sri Lanka,Sharjah Cricket Stadium,2,172,15.64,0/20,9,32.56,,4,,,,22 years 263 days
14.0,18/07/2001,Sri Lanka,R Premadasa Stadium,6,178,14.83,1/41,10,33.40,1,5,,,,22 years 355 days
15.0,25/07/2001,Sri Lanka,R Premadasa Stadium,11,189,14.54,0/38,10,37.20,,5,,,,22 years 362 days
16.0,26/07/2001,India,R Premadasa Stadium,40,229,16.36,1/18,11,35.45,,5,,,,22 years 363 days
17.0,31/07/2001,Sri Lanka,Sinhalese Sports Club Ground,0,229,15.27,0/41,11,39.18,,5,,,,23 years 3 days
18.0,09/04/2002,Sri Lanka,Sharjah Cricket Stadium,46*,275,18.33,1/31,12,38.50,,5,,,,23 years 255 days
19.0,11/04/2002,Pakistan,Sharjah Cricket Stadium,6,281,17.56,0/36,12,41.50,,5,,,,23 years 257 days
20.0,14/04/2002,Sri Lanka,Sharjah Cricket Stadium,16,297,17.47,0/31,12,44.08,,5,,,,23 years 260 days
21.0,15/04/2002,Pakistan,Sharjah Cricket Stadium,0,297,16.50,,12,44.08,,5,,,,23 years 261 days
22.0,21/04/2002,Pakistan,National Stadium (Karachi),0,297,15.63,2/51,14,41.43,,5,,,,23 years 267 days
23.0,24/04/2002,Pakistan,Rawalpindi Cricket Stadium,8,305,15.25,0/39,14,44.21,,5,,,,23 years 270 days
24.0,15/09/2002,Australia,Sinhalese Sports Club Ground,1,306,14.57,2/60,16,42.44,,5,,,,24 years 49 days
25.0,23/09/2002,Bangladesh,Sinhalese Sports Club Ground,30,336,15.27,2/32,18,39.50,,5,,,,24 years 57 days
26.0,26/12/2002,India,Eden Park,27*,363,16.50,5/26,23,32.04,,5,,,,24 years 151 days
27.0,29/12/2002,India,McLean Park,4,367,15.96,1/50,24,32.79,1,6,,,,24 years 154 days
28.0,01/01/2003,India,AMI Stadium,10*,377,16.39,2/22,26,31.12,,6,,,,24 years 157 days
29.0,04/01/2003,India,Queenstown Events Centre,-,377,16.39,0/28,26,32.19,,6,,,,24 years 160 days
30.0,10/02/2003,Sri Lanka,Mangaung Oval,12,389,16.21,0/37,26,33.62,,6,,,,24 years 197 days
31.0,13/02/2003,West Indies,St George's Park,-,389,16.21,2/26,28,32.14,1,7,,,,24 years 200 days
32.0,16/02/2003,South Africa,Wanderers Stadium,-,389,16.21,2/52,30,31.73,1,8,,,,24 years 203 days
33.0,26/02/2003,Bangladesh,Diamond Oval,-,389,16.21,3/32,33,29.82,,8,,,,24 years 213 days
34.0,03/03/2003,Canada,Willowmoore Park,-,389,16.21,4/52,37,28.00,,8,,,,24 years 218 days
35.0,08/03/2003,Zimbabwe,Mangaung Oval,-,389,16.21,1/28,38,28.00,,8,,,,24 years 223 days
36.0,11/03/2003,Australia,St George's Park,0,389,15.56,2/48,40,27.80,,8,,,,24 years 226 days
37.0,14/03/2003,India,SuperSport Park,23,412,15.85,0/20,40,28.30,1,9,,,,24 years 229 days
38.0,11/05/2003,Pakistan,Rangiri Dambulla International Stadium,-,412,15.85,2/16,42,27.33,,9,,,,24 years 287 days
39.0,13/05/2003,Sri Lanka,Rangiri Dambulla International Stadium,20,432,16.00,3/12,45,25.78,,9,,,,24 years 289 days
40.0,23/05/2003,Pakistan,Rangiri Dambulla International Stadium,12,444,15.86,3/38,48,24.96,,9,,,,24 years 299 days
41.0,23/10/2003,India,MA Chidambaram Stadium,-,444,15.86,0/31,48,25.60,,9,,,,25 years 86 days
42.0,29/10/2003,Australia,Nahar Singh Stadium,0,444,15.31,1/31,49,25.71,1,10,,,,25 years 92 days
43.0,03/11/2003,Australia,Nehru Stadium (Pune),81,525,17.50,0/65,49,27.04,,10,,,,25 years 97 days
44.0,06/11/2003,India,Barabati Stadium,6,531,17.13,0/68,49,28.43,,10,,,,25 years 100 days
45.0,09/11/2003,Australia,Nehru Stadium (Guwahati),14,545,17.03,0/47,49,29.39,,10,,,,25 years 103 days
46.0,15/11/2003,India,Lal Bahadur Shastri Stadium,11,556,16.85,0/67,49,30.76,1,11,,,,25 years 109 days
47.0,29/11/2003,Pakistan,Gaddafi Stadium,35,591,17.38,2/33,51,30.20,,11,,,,25 years 123 days
48.0,01/12/2003,Pakistan,Gaddafi Stadium,14,605,17.29,0/38,51,30.94,,11,,,,25 years 125 days
49.0,07/12/2003,Pakistan,Rawalpindi Cricket Stadium,1,606,16.83,0/23,51,31.39,1,12,,,,25 years 131 days
50.0,03/01/2004,Pakistan,Eden Park,3,609,16.46,2/28,53,30.74,,12,,,,25 years 158 days
51.0,07/01/2004,Pakistan,Queenstown Events Centre,54,663,17.45,1/37,54,30.85,1,13,,,,25 years 162 days
52.0,10/01/2004,Pakistan,AMI Stadium,-,663,17.45,1/48,55,31.16,,13,,,,25 years 165 days
53.0,14/01/2004,Pakistan,McLean Park,-,663,17.45,2/24,57,30.49,,13,,,,25 years 169 days
54.0,17/01/2004,Pakistan,Westpac Stadium,18*,681,17.92,2/28,59,29.93,,13,,,,25 years 172 days
55.0,13/02/2004,South Africa,Eden Park,15,696,17.85,0/44,59,30.68,,13,,,,25 years 199 days
56.0,17/02/2004,South Africa,AMI Stadium,-,696,17.85,0/44,59,31.42,,13,,,,25 years 203 days
57.0,20/02/2004,South Africa,Westpac Stadium,20,716,17.90,0/41,59,32.12,,13,,,,25 years 206 days
58.0,25/02/2004,South Africa,Carisbrook,-,716,17.90,3/51,62,31.39,,13,,,,25 years 211 days
59.0,29/02/2004,South Africa,Eden Park,22,738,18.00,2/20,64,30.72,,13,,,,25 years 215 days
60.0,02/03/2004,South Africa,McLean Park,6,744,17.71,3/24,67,29.70,1,14,,,,25 years 217 days
61.0,26/06/2004,West Indies,Edgbaston,-,744,17.71,1/42,68,29.88,,14,,,,25 years 333 days
62.0,29/06/2004,England,Riverside Ground,-,744,17.71,3/23,71,28.94,1,15,,,,25 years 336 days
63.0,02/07/2004,West Indies,Sophia Gardens,17,761,17.70,0/43,71,29.55,,15,,,,25 years 339 days
64.0,04/07/2004,England,County Ground (Bristol),10*,771,17.93,2/27,73,29.11,1,16,,,,25 years 341 days
65.0,10/07/2004,West Indies,Lord's,15,786,17.86,1/26,74,29.07,,16,,,,25 years 347 days
66.0,10/09/2004,United States,Kennington Oval,-,786,17.86,5/36,79,27.68,,16,,,,26 years 44 days
67.0,16/09/2004,Australia,Kennington Oval,15,801,17.80,1/34,80,27.76,,16,,,,26 years 50 days
68.0,05/12/2004,Australia,Etihad Stadium,24,825,17.93,2/51,82,27.71,,16,,,,26 years 130 days
69.0,08/12/2004,Australia,Sydney Cricket Ground,2,827,17.60,0/77,82,28.65,,16,,,,26 years 133 days
70.0,26/12/2004,Sri Lanka,Eden Park,-,827,17.60,1/23,83,28.58,,16,,,,26 years 151 days
71.0,24/08/2005,Zimbabwe,Queens Sports Club,0,827,17.23,1/37,84,28.68,1,17,,,,27 years 27 days
72.0,26/08/2005,India,Queens Sports Club,36,863,17.61,1/41,85,28.82,,17,,,,27 years 29 days
73.0,31/08/2005,Zimbabwe,Harare Sports Club,5,868,17.36,0/38,85,29.27,2,19,,,,27 years 34 days
74.0,02/09/2005,India,Harare Sports Club,14,882,17.29,1/22,86,29.19,,19,,,,27 years 36 days
