0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,23,21,3,0,0,4,46,251,13.94,55.78,20,2
Bangladesh,1,0,0,0,0,0,0,0,,,0,0
England,6,6,0,0,0,0,42,125,20.83,59.52,3,0
India,28,26,6,0,2,3,96,510,25.50,65.47,13,5
Netherlands,1,1,0,0,1,0,55,55,55.00,100.00,0,0
Pakistan,28,24,2,0,4,5,93,666,30.27,66.07,20,3
Scotland,1,0,0,0,0,0,0,0,,,1,0
South Africa,29,26,8,1,1,2,108,555,30.83,78.84,19,5
Sri Lanka,25,25,5,0,4,4,67,621,31.05,69.70,17,2
United Arab Emirates,1,1,0,0,0,0,15,15,15.00,83.33,0,0
West Indies,15,13,3,0,1,1,61,195,19.50,55.24,12,4
Zimbabwe,21,18,5,0,1,0,52,321,24.69,80.45,11,4
Overall (12),179,161,32,1,14,19,108,3314,25.69,68.09,116,25
