0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Arun Jaitley Stadium,10.0,0,49,1,0,1/49,49.00,60.00,4.90
Basin Reserve,24.0,1,115,4,0,3/40,28.75,36.00,4.79
Bay Oval,26.5,1,139,2,0,1/45,69.50,80.50,5.18
Castle Avenue,20.0,1,89,2,0,1/36,44.50,60.00,4.45
Dr YS Rajasekhara Reddy Cricket Stadium,10.0,0,36,1,0,1/36,36.00,60.00,3.60
Eden Park,17.2,1,109,6,0,3/44,18.17,17.33,6.29
Edgbaston,27.0,0,147,2,0,1/45,73.50,81.00,5.44
Green Park,10.0,0,58,2,0,2/58,29.00,30.00,5.80
Hagley Oval,44.0,0,203,7,0,3/15,29.00,37.71,4.61
Himachal Pradesh Cricket Association Stadium,6.0,0,18,0,0,0/18,,,3.00
JSCA International Stadium Complex,10.0,0,38,1,0,1/38,38.00,60.00,3.80
Kennington Oval,17.0,1,114,3,0,2/73,38.00,34.00,6.71
Lord's,6.0,0,33,0,0,0/11,,,5.50
Maharashtra Cricket Association Stadium,10.0,0,38,1,0,1/38,38.00,60.00,3.80
Manuka Oval,10.0,0,47,1,0,1/47,47.00,60.00,4.70
McLean Park,15.0,0,77,3,0,3/45,25.67,30.00,5.13
Melbourne Cricket Ground,9.0,0,43,2,0,2/43,21.50,27.00,4.78
Old Trafford,20.0,3,95,2,0,2/34,47.50,60.00,4.75
Punjab Cricket Association IS Bindra Stadium,10.0,0,43,0,0,0/43,,,4.30
Riverside Ground,16.0,0,96,4,0,3/31,24.00,24.00,6.00
Saxton Oval,38.0,2,151,4,0,2/38,37.75,57.00,3.97
Seddon Park,47.0,0,220,7,0,2/50,31.43,40.29,4.68
Sophia Gardens,20.0,0,106,2,0,1/5,53.00,60.00,5.30
Sydney Cricket Ground,9.0,0,40,0,0,0/40,,,4.44
The Rose Bowl,5.0,0,30,1,0,1/30,30.00,30.00,6.00
The Village,17.0,0,77,6,1,5/50,12.83,17.00,4.53
Trent Bridge,4.0,0,32,0,0,0/32,,,8.00
University Oval,20.0,2,103,0,0,,,,5.15
Wankhede Stadium,10.0,0,41,1,0,1/41,41.00,60.00,4.10
Westpac Stadium,25.0,0,122,4,0,3/47,30.50,37.50,4.88
Overall (30),513.1,12,2509,69,1,5/50,36.36,44.62,4.89
