0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,15/12/1995,Pakistan,Carisbrook,c Ijaz Ahmed b Aaqib Javed,5,10,50.00,,5,5.00,50.00
2,17/12/1995,Pakistan,AMI Stadium,c †Rashid Latif b Aaqib Javed,8,17,47.06,,13,6.50,48.15
3,20/12/1995,Pakistan,Basin Reserve,c Aamir Sohail b Wasim Akram,33,31,106.45,,46,15.33,79.31
4,23/12/1995,Pakistan,Eden Park,c Basit Ali b Mushtaq Ahmed,48,62,77.42,,94,23.50,78.33
5,28/01/1996,Zimbabwe,Eden Park,c G J Whittall b H H Streak,22,23,95.65,,116,23.20,81.12
6,31/01/1996,Zimbabwe,Basin Reserve,c G W Flower b H H Streak,1,6,16.67,,117,19.50,78.52
7,03/02/1996,Zimbabwe,McLean Park,lbw b E A Brandes,28,26,107.69,,145,20.71,82.86
8,14/02/1996,England,Sardar Patel Stadium,c & b D G Cork,5,16,31.25,,150,18.75,78.53
9,17/02/1996,Netherlands,Reliance Stadium,c B Zuiderent b S W Lubbers,68,59,115.25,,218,24.22,87.20
10,20/02/1996,South Africa,Iqbal Stadium,c †S J Palframan b C R Matthews,14,14,100.00,,232,23.20,87.88
11,27/02/1996,United Arab Emirates,Iqbal Stadium,b Saleem Raza,78,77,101.30,,310,28.18,90.91
12,06/03/1996,Pakistan,Gaddafi Stadium,c †Rashid Latif b Aaqib Javed,14,13,107.69,,324,27.00,91.53
13,11/03/1996,Australia,MA Chidambaram Stadium,c †I A Healy b P R Reiffel,12,12,100.00,,336,25.85,91.80
14,26/03/1996,West Indies,Sabina Park,c R I C Holder b C E L Ambrose,11,15,73.33,,347,24.79,91.08
15,29/03/1996,West Indies,Queen's Park Oval,c P V Simmons b R A Harper,37,47,78.72,,384,25.60,89.72
16,30/03/1996,West Indies,Queen's Park Oval,b C E L Ambrose,7,11,63.64,,391,24.44,89.07
17,03/04/1996,West Indies,Bourda,b C E L Ambrose,41,39,105.13,,432,25.41,90.38
18,06/04/1996,West Indies,Arnos Vale Ground,c †C O Browne b C A Walsh,4,6,66.67,,436,24.22,90.08
19,07/11/1996,Sri Lanka,Sharjah Cricket Stadium,c U D U Chandana b K S C de Silva,39,52,75.00,,475,25.00,88.62
20,10/11/1996,Pakistan,Sharjah Cricket Stadium,c †Moin Khan b Wasim Akram,0,6,0.00,,475,23.75,87.64
21,11/11/1996,Sri Lanka,Sharjah Cricket Stadium,c R S Mahanama b K S C de Silva,2,24,8.33,,477,22.71,84.28
22,13/11/1996,Pakistan,Sharjah Cricket Stadium,c †Moin Khan b Shahid Nazir,2,4,50.00,,479,21.77,84.04
23,04/12/1996,Pakistan,Jinnah Stadium (Gujwranwala),run out,6,19,31.58,,485,21.09,82.34
24,06/12/1996,Pakistan,Jinnah Stadium (Sialkot),c †Moin Khan b Wasim Akram,0,1,0.00,,485,20.21,82.20
25,01/10/1997,Zimbabwe,Queens Sports Club,c †A Flower b J A Rennie,5,13,38.46,,490,19.60,81.26
26,04/10/1997,Zimbabwe,Harare Sports Club,c A D R Campbell b J A Rennie,1,4,25.00,,491,18.88,80.89
27,05/10/1997,Zimbabwe,Harare Sports Club,c A D R Campbell b B C Strang,0,2,0.00,,491,18.19,80.62
28,09/01/1998,South Africa,Brisbane Cricket Ground,c P L Symcox b S M Pollock,11,16,68.75,,502,17.93,80.32
29,14/01/1998,Australia,Sydney Cricket Ground,run out,6,11,54.55,,508,17.52,79.87
30,16/01/1998,South Africa,WACA Ground,c J N Rhodes b S M Pollock,13,18,72.22,,521,17.37,79.66
31,21/01/1998,Australia,Melbourne Cricket Ground,c †A C Gilchrist b P Wilson,10,27,37.04,,531,17.13,77.97
32,05/11/1999,India,Madhavrao Scindia Cricket Ground,c R Vijay Bhardwaj b B K V Prasad,68,44,154.55,,599,18.72,82.62
33,08/11/1999,India,Lal Bahadur Shastri Stadium,c S R Tendulkar b B K V Prasad,15,13,115.38,,614,18.61,83.20
34,11/11/1999,India,Captain Roop Singh Stadium,c R Dravid b N Chopra,32,62,51.61,,646,19.00,80.75
35,14/11/1999,India,Nehru Stadium (Guwahati),run out,25,22,113.64,,671,19.17,81.63
36,17/11/1999,India,Arun Jaitley Stadium,c R Dravid b T A S Kumaran,3,27,11.11,,674,18.72,79.39
37,02/01/2000,West Indies,Eden Park,c †R D Jacobs b C A Walsh,25,19,131.58,,699,18.89,80.53
38,04/01/2000,West Indies,Owen Delany Park,c †R D Jacobs b M V Dillon,42,50,84.00,,741,19.50,80.72
39,06/01/2000,West Indies,McLean Park,c †R D Jacobs b M V Dillon,0,3,0.00,,741,19.00,80.46
40,08/01/2000,West Indies,Westpac Stadium,c †R D Jacobs b M V Dillon,0,2,0.00,,741,18.53,80.28
41,11/01/2000,West Indies,AMI Stadium,run out,5,15,33.33,,746,18.20,79.53
42,17/02/2000,Australia,Westpac Stadium,did not bat,-,-,-,,746,18.20,79.53
43,19/02/2000,Australia,Eden Park,c †A C Gilchrist b G D McGrath,0,4,0.00,,746,17.76,79.19
44,23/02/2000,Australia,Carisbrook,lbw b D W Fleming,2,9,22.22,,748,17.40,78.65
45,27/09/2000,Zimbabwe,Harare Sports Club,c G W Flower b P A Strang,86,104,82.69,,834,18.95,79.05
46,30/09/2000,Zimbabwe,Queens Sports Club,c G J Whittall b D P Viljoen,62,70,88.57,,896,19.91,79.64
47,01/10/2000,Zimbabwe,Queens Sports Club,b B C Strang,11,15,73.33,,907,19.72,79.56
48,09/10/2000,Zimbabwe,Gymkhana Club Ground,c H H Streak b H K Olonga,20,36,55.56,,927,19.72,78.83
49,11/10/2000,Pakistan,Gymkhana Club Ground,b Azhar Mahmood,1,5,20.00,,928,19.33,78.58
50,15/10/2000,India,Gymkhana Club Ground,c Yuvraj Singh b B K V Prasad,3,8,37.50,,931,19.00,78.30
51,11/02/2001,Sri Lanka,AMI Stadium,c S T Jayasuriya b I S Gallage,5,13,38.46,,936,18.72,77.87
No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,No. of Innings Played = 50,,
