0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,16/03/1988,England,McLean Park,b P A J De Freitas,5,16,31.25,,5,5.00,31.25
2,27/03/1988,India,Sharjah Cricket Stadium,c †K S More b Arshad Ayub,42,95,44.21,,47,23.50,42.34
3,29/03/1988,Sri Lanka,Sharjah Cricket Stadium,run out,45,78,57.69,,92,30.67,48.68
4,31/03/1988,Sri Lanka,Sharjah Cricket Stadium,run out,96,125,76.80,,188,47.00,59.87
5,01/04/1988,India,Sharjah Cricket Stadium,c †K S More b S K Sharma,3,11,27.27,,191,38.20,58.77
6,06/02/1989,Pakistan,Carisbrook,b Imran Khan,46,109,42.20,,237,39.50,54.61
7,04/03/1989,Pakistan,AMI Stadium,c †Aamer Malik b Salim Jaffer,3,10,30.00,,240,34.29,54.05
8,08/03/1989,Pakistan,Basin Reserve,b Mudassar Nazar,8,37,21.62,,248,31.00,51.56
No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,,
