0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,12/12/1992,Sri Lanka,P Sara Oval,,4.0,0/26,,,6.50,,
2.0,13/12/1992,Sri Lanka,R Premadasa Stadium,,10.0,0/27,,,3.79,,
3.0,22/01/1995,West Indies,Eden Park,,4.0,0/14,,,3.72,,
4.0,25/01/1995,West Indies,Basin Reserve,,6.0,0/30,,,4.04,,
5.0,28/01/1995,West Indies,AMI Stadium,,3.0,0/16,,,4.19,,
6.0,16/02/1995,India,McLean Park,V G Kambli (c K R Rutherford),5.0,1/24,,192.00,4.28,1,137.00
7.0,19/02/1995,Australia,Eden Park,M E Waugh (c & b),7.0,1/41,,117.00,4.56,2,89.00
8.0,23/02/1995,South Africa,AMI Stadium,W J Cronje (st †A C Parore),10.0,3/37,,58.80,4.39,3,43.00
,,,,D J Richardson (c S A Thomson),,,,,,4,
,,,,E O Simons (c M J Greatbatch),,,,,,5,
9.0,26/02/1995,Australia,Eden Park,M A Taylor (st †A C Parore),6.0,1/18,,55.00,4.24,6,38.83
10.0,26/03/1995,Sri Lanka,AMI Stadium,P A de Silva (c & b),10.0,4/33,,39.00,4.09,7,26.60
,,,,A P Gurusinha (c M J Greatbatch),,,,,,8,
,,,,S T Jayasuriya (c M J Greatbatch),,,,,,9,
,,,,R S Kalpage (c S P Fleming),,,,,,10,
11.0,29/03/1995,Sri Lanka,Seddon Park,,3.0,0/18,,40.80,4.18,,28.40
12.0,01/04/1995,Sri Lanka,Eden Park,,4.0,0/30,,43.20,4.36,,31.40
13.0,03/04/1996,West Indies,Bourda,C E L Ambrose (lbw),7.0,2/26,,39.50,4.30,11,28.33
,,,,P V Simmons (c C Z Harris),,,,,,12,
14.0,06/04/1996,West Indies,Arnos Vale Ground,,10.0,0/37,,44.50,4.24,,31.42
15.0,15/11/1996,Pakistan,Sharjah Cricket Stadium,Saeed Anwar (c S P Fleming),8.0,1/33,,44.77,4.23,13,31.54
16.0,06/12/1996,Pakistan,Jinnah Stadium (Sialkot),Ijaz Ahmed (c C M Spearman),9.0,1/55,,45.43,4.39,14,33.21
17.0,08/12/1996,Pakistan,National Stadium (Karachi),Saeed Anwar (c B A Young),10.0,1/59,,46.40,4.52,15,34.93
