0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,27.0,0,144,3,0,1/25,48.00,54.00,5.33
Bangladesh,21.0,1,100,4,0,3/22,25.00,31.50,4.76
Canada,4.0,0,26,0,0,0/26,,,6.50
England,38.2,0,225,6,0,2/25,37.50,38.33,5.87
India,22.3,1,136,5,0,2/19,27.20,27.00,6.04
Pakistan,28.0,0,120,4,0,2/32,30.00,42.00,4.29
South Africa,28.4,0,145,7,1,4/22,20.71,24.57,5.06
Sri Lanka,39.0,0,210,1,0,1/50,210.00,234.00,5.38
West Indies,18.0,0,104,3,0,1/30,34.67,36.00,5.78
Zimbabwe,18.0,0,100,4,0,2/13,25.00,27.00,5.56
Overall (10),244.3,2,1310,37,1,4/22,35.41,39.65,5.36
