0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,23/04/2011,West Indies,Darren Sammy National Cricket Stadium,,10.0,0/49,,,4.90,,
2.0,25/04/2011,West Indies,Darren Sammy National Cricket Stadium,,7.0,0/36,,,5.00,,
3.0,28/04/2011,West Indies,Kensington Oval,M N Samuels (b),7.0,1/31,,144.00,4.83,1,116.00
4.0,02/05/2011,West Indies,Kensington Oval,D M Bravo (c Tanvir Ahmed),6.0,2/26,,60.00,4.73,2,47.33
,,,,K A Edwards (c †Mohammad Salman),,,,,,3,
5.0,05/05/2011,West Indies,Providence Stadium,,3.0,0/16,,66.00,4.79,,52.67
6.0,28/05/2011,Ireland,Civil Service Cricket Club,K J O'Brien (b),5.0,4/12,,32.57,4.47,4,24.29
,,,,A R White (c †Mohammad Salman),,,,,,5,
,,,,A R Cusack (b),,,,,,6,
,,,,P R Stirling (c Mohammad Hafeez),,,,,,7,
7.0,30/05/2011,Ireland,Civil Service Cricket Club,G C Wilson (c Hammad Azam),10.0,2/53,,32.00,4.65,8,24.78
,,,,P R Stirling (b),,,,,,9,
8.0,08/09/2011,Zimbabwe,Queens Sports Club,,7.0,0/51,,36.67,4.98,,30.44
9.0,11/09/2011,Zimbabwe,Harare Sports Club,B R M Taylor (c sub),10.0,1/29,,39.00,4.66,10,30.30
10.0,23/11/2011,Sri Lanka,Sheikh Zayed Stadium,L P C Silva (c Misbah-ul-Haq),3.0,1/18,,37.09,4.72,11,29.18
11.0,21/02/2012,England,Dubai International Cricket Stadium,A N Cook (lbw),9.2,1/53,,38.67,4.84,12,31.17
12.0,31/08/2012,Australia,Sheikh Zayed Stadium,M G Johnson (b),9.0,3/52,,34.53,4.93,13,28.40
,,,,D T Christian (c Nasir Jamshed),,,,,,14,
,,,,M S Wade (b),,,,,,15,
13.0,03/09/2012,Australia,Sharjah Cricket Stadium,M E K Hussey (b),6.0,2/42,,32.59,5.07,16,27.53
,,,,D T Christian (c sub),,,,,,17,
14.0,30/12/2012,India,MA Chidambaram Stadium,V Sehwag (b),9.0,4/43,,28.95,5.04,18,24.33
,,,,Yuvraj Singh (b),,,,,,19,
,,,,R G Sharma (c Mohammad Hafeez),,,,,,20,
,,,,V Kohli (b),,,,,,21,
15.0,03/01/2013,India,Eden Gardens,G Gambhir (b),9.0,3/39,,27.58,4.98,22,22.92
,,,,I Sharma (b),,,,,,23,
,,,,V Kohli (c †Kamran Akmal),,,,,,24,
16.0,06/01/2013,India,Arun Jaitley Stadium,V Kohli (c Younis Khan),9.0,1/17,,28.64,4.75,25,22.68
17.0,10/03/2013,South Africa,Mangaung Oval,F du Plessis (c Umar Gul),9.0,1/59,,29.62,4.88,26,24.08
