0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,02/02/2008,Zimbabwe,Sheikhupura Stadium,b R W Price,50,73,68.49,,50,50.00,68.49
2,12/11/2008,West Indies,Sheikh Zayed Stadium,c †C S Baugh b J E Taylor,69,89,77.53,,119,59.50,73.46
3,14/11/2008,West Indies,Sheikh Zayed Stadium,b D B Powell,0,5,0.00,,119,39.67,71.26
4,16/11/2008,West Indies,Sheikh Zayed Stadium,c B P Nash b C H Gayle,30,59,50.85,,149,37.25,65.93
5,20/01/2009,Sri Lanka,National Stadium (Karachi),c & b M Muralitharan,83,128,64.84,,232,46.40,65.54
6,21/01/2009,Sri Lanka,National Stadium (Karachi),lbw b K M D N Kulasekara,1,2,50.00,,233,38.83,65.45
7,24/01/2009,Sri Lanka,Gaddafi Stadium,c M F Maharoof b K M D N Kulasekara,3,19,15.79,,236,33.71,62.93
No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,,
