0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,10.0,0,77,1,0,1/34,77.00,60.00,7.70
AMI Stadium,5.0,0,25,1,0,1/25,25.00,30.00,5.00
Arun Jaitley Stadium,10.0,0,44,1,0,1/44,44.00,60.00,4.40
Bellerive Oval,4.0,0,17,1,0,1/17,17.00,24.00,4.25
Brisbane Cricket Ground,17.0,0,77,1,0,1/54,77.00,102.00,4.53
Castle Avenue,19.0,0,67,3,0,2/34,22.33,38.00,3.53
Civil Service Cricket Club,10.0,0,42,1,0,1/42,42.00,60.00,4.20
Darren Sammy National Cricket Stadium,40.0,5,142,3,0,2/38,47.33,80.00,3.55
Dr YS Rajasekhara Reddy Cricket Stadium,7.0,0,55,2,0,2/55,27.50,21.00,7.86
Dubai International Cricket Stadium,95.0,4,359,10,0,2/24,35.90,57.00,3.78
Eden Gardens,10.0,0,29,1,0,1/29,29.00,60.00,2.90
Eden Park,9.0,0,57,2,0,2/57,28.50,27.00,6.33
Edgbaston,29.1,0,119,2,0,1/38,59.50,87.50,4.08
Gaddafi Stadium,50.0,1,248,5,0,3/37,49.60,60.00,4.96
Grange Cricket Club,8.0,0,12,1,0,1/12,12.00,48.00,1.50
Harare Sports Club,44.0,0,195,3,0,2/40,65.00,88.00,4.43
Headingley,12.0,0,68,0,0,0/10,,,5.67
Iqbal Stadium,15.0,0,67,1,0,1/25,67.00,90.00,4.47
Kennington Oval,7.0,0,46,1,0,1/14,46.00,42.00,6.57
Kensington Oval,15.0,0,57,3,0,2/31,19.00,30.00,3.80
Khan Shaheb Osman Ali Stadium,18.2,0,83,3,0,3/29,27.67,36.67,4.53
Kingsmead,16.0,0,76,0,0,0/36,,,4.75
Lord's,29.0,1,125,3,0,3/31,41.67,58.00,4.31
MA Chidambaram Stadium,10.0,2,26,1,0,1/26,26.00,60.00,2.60
Mahinda Rajapaksha International Cricket Stadium,22.0,1,97,5,0,3/39,19.40,26.40,4.41
Mangaung Oval,10.0,0,48,1,0,1/48,48.00,60.00,4.80
McLean Park,7.0,0,25,1,0,1/25,25.00,42.00,3.57
Melbourne Cricket Ground,18.0,0,83,0,0,0/38,,,4.61
Multan Cricket Stadium,11.2,1,29,3,0,3/17,9.67,22.67,2.56
National Stadium (Karachi),13.0,0,75,0,0,0/21,,,5.77
Nehru Stadium (Kochi),9.3,0,59,0,0,0/59,,,6.21
Newlands,11.0,0,41,1,0,1/34,41.00,66.00,3.73
Old Trafford,11.0,0,52,1,0,1/41,52.00,66.00,4.73
Pallekele International Cricket Stadium,38.0,4,148,7,0,2/20,21.14,32.57,3.89
Providence Stadium,38.0,1,137,3,0,2/23,45.67,76.00,3.61
Punjab Cricket Association IS Bindra Stadium,18.0,1,57,2,0,1/23,28.50,54.00,3.17
Queens Sports Club,10.0,0,38,1,0,1/38,38.00,60.00,3.80
R Premadasa Stadium,41.0,0,147,5,0,2/37,29.40,49.20,3.59
Rangiri Dambulla International Stadium,32.0,4,111,6,1,4/41,18.50,32.00,3.47
Rawalpindi Cricket Stadium,19.4,1,66,2,0,1/22,33.00,59.00,3.36
Riverside Ground,5.0,0,28,0,0,0/28,,,5.60
Sabina Park,13.0,0,54,3,0,2/39,18.00,26.00,4.15
Sawai Mansingh Stadium,7.0,0,24,1,0,1/24,24.00,42.00,3.43
Seddon Park,9.0,0,34,0,0,,,,3.78
Sharjah Cricket Stadium,92.3,5,364,12,0,2/14,30.33,46.25,3.94
Sheikh Zayed Stadium,122.0,3,507,11,0,2/34,46.09,66.55,4.16
Shere Bangla National Stadium,100.0,9,334,10,0,2/15,33.40,60.00,3.34
Sophia Gardens,23.0,0,90,1,0,1/33,90.00,138.00,3.91
St George's Park,11.0,0,66,0,0,0/22,,,6.00
SuperSport Park,18.0,0,104,4,0,2/35,26.00,27.00,5.78
Sydney Cricket Ground,23.0,1,105,1,0,1/34,105.00,138.00,4.57
The Cooper Associates County Ground,7.0,0,60,1,0,1/60,60.00,42.00,8.57
The Rose Bowl,12.0,1,54,1,0,1/40,54.00,72.00,4.50
Trent Bridge,19.2,0,112,2,0,1/21,56.00,58.00,5.79
WACA Ground,6.0,1,30,0,0,0/30,,,5.00
Wanderers Stadium,8.0,0,58,0,0,,,,7.25
Willowmoore Park,4.0,0,23,1,0,1/23,23.00,24.00,5.75
Zahur Ahmed Chowdhury Stadium,10.0,2,27,3,0,3/27,9.00,20.00,2.70
Overall (58),1288.5,48,5400,139,1,4/41,38.85,55.63,4.19
