0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,09/05/1997,New Zealand,Punjab Cricket Association IS Bindra Stadium,c H T Davis b G R Larsen,1,4,25.00,,1,1.00,25.00
2,12/05/1997,Sri Lanka,Captain Roop Singh Stadium,not out,17*,10,170.00,,18,18.00,128.57
3,21/05/1997,India,MA Chidambaram Stadium,not out,7*,5,140.00,,25,25.00,131.58
4,24/05/1997,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,b K S C de Silva,8,11,72.73,,33,16.50,110.00
5,27/05/1997,Sri Lanka,Eden Gardens,not out,18*,17,105.88,,51,25.50,108.51
6,17/09/1997,India,"Cricket, Skating & Curling Club",did not bat,-,-,-,,51,25.50,108.51
7,02/10/1997,India,Gaddafi Stadium,did not bat,-,-,-,,51,25.50,108.51
8,16/01/1998,India,Bangabandhu National Stadium,not out,0*,1,0.00,,51,25.50,106.25
9,18/01/1998,India,Bangabandhu National Stadium,not out,2*,2,100.00,,53,26.50,106.00
10,29/03/1998,Zimbabwe,Harare Sports Club,not out,31*,20,155.00,,84,42.00,120.00
11,07/04/1998,Sri Lanka,Diamond Oval,b W P U J C Vaas,20,18,111.11,,104,34.67,118.18
12,09/04/1998,Sri Lanka,Boland Park,c R S Mahanama b P A de Silva,10,11,90.91,,114,28.50,115.15
13,11/04/1998,South Africa,Buffalo Park,not out,26*,18,144.44,,140,35.00,119.66
14,17/04/1998,South Africa,SuperSport Park,run out,14,19,73.68,,154,30.80,113.24
No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,,
