0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Australia,122.0,3,594,17,0,3/41,34.94,43.06,4.87
Bangladesh,8.0,0,20,2,0,2/20,10.00,24.00,2.50
England,141.0,6,637,13,0,3/41,49.00,65.08,4.52
India,109.2,2,544,24,2,5/36,22.67,27.33,4.98
Netherlands,10.0,2,27,0,0,0/27,,,2.70
New Zealand,159.5,8,552,20,0,2/4,27.60,47.95,3.45
South Africa,106.4,4,516,6,0,2/29,86.00,106.67,4.84
Sri Lanka,224.2,7,1012,23,0,3/14,44.00,58.52,4.51
United Arab Emirates,7.0,0,16,3,0,3/16,5.33,14.00,2.29
West Indies,286.0,12,1199,38,1,4/22,31.55,45.16,4.19
Zimbabwe,83.0,7,244,15,1,4/27,16.27,33.20,2.94
Overall (11),1257.1,51,5361,161,4,5/36,33.30,46.85,4.26
