0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,09/06/2012,Sri Lanka,Pallekele International Cricket Stadium,,4.0,0/34,,,8.50,,
2.0,01/03/2015,Zimbabwe,Brisbane Cricket Ground,S C Williams (c Ahmed Shehzad),10.0,1/37,,84.00,5.07,1,71.00
3.0,04/03/2015,United Arab Emirates,McLean Park,Amjad Ali (b),10.0,1/30,,72.00,4.21,2,50.50
4.0,07/03/2015,South Africa,Eden Park,D A Miller (lbw),8.0,3/40,,38.40,4.41,3,28.20
,,,,F du Plessis (c †Sarfaraz Ahmed),,,,,,4,
,,,,K J Abbott (c Younis Khan),,,,,,5,
5.0,15/03/2015,Ireland,Adelaide Oval,N J O'Brien (c Umar Akmal),10.0,2/48,,36.00,4.50,6,27.00
,,,,S R Thompson (c Umar Akmal),,,,,,7,
6.0,20/03/2015,Australia,Adelaide Oval,,6.0,0/37,,41.14,4.71,,32.29
7.0,17/04/2015,Bangladesh,Shere Bangla National Stadium,Mahmudullah (b),10.0,1/56,,43.50,4.86,8,35.25
8.0,19/04/2015,Bangladesh,Shere Bangla National Stadium,Mushfiqur Rahim (c Fawad Alam),7.0,1/57,,43.33,5.22,9,37.67
9.0,11/07/2015,Sri Lanka,Rangiri Dambulla International Stadium,S Prasanna (c Mohammad Hafeez),8.0,2/44,,39.82,5.25,10,34.82
,,,,T A M Siriwardana (c Mohammad Rizwan),,,,,,11,
10.0,15/07/2015,Sri Lanka,Pallekele International Cricket Stadium,T M Dilshan (b),9.1,3/73,,35.21,5.55,12,32.57
,,,,W U Tharanga (b),,,,,,13,
,,,,H D R L Thirimanne (c Anwar Ali),,,,,,14,
11.0,19/07/2015,Sri Lanka,R Premadasa Stadium,H D R L Thirimanne (c †Sarfaraz Ahmed),7.0,1/35,,35.67,5.51,15,32.73
12.0,22/07/2015,Sri Lanka,R Premadasa Stadium,A D Mathews (c Yasir Shah),7.0,1/39,,36.06,5.51,16,33.13
13.0,26/07/2015,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,H D R L Thirimanne (c Mohammad Rizwan),10.0,2/74,,35.39,5.69,17,33.56
,,,,L D Chandimal (c †Sarfaraz Ahmed),,,,,,18,
14.0,31/01/2016,New Zealand,Eden Park,,7.0,0/54,,37.72,5.81,,36.56
