0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,14/06/2017,England,Sophia Gardens,L E Plunkett (c Azhar Ali),9.0,2/44,,27.00,4.89,1,22.00
,,,,A D Hales (c Babar Azam),,,,,,2,
2.0,13/10/2017,Sri Lanka,Dubai International Cricket Stadium,H D R L Thirimanne (lbw),9.0,3/49,,21.60,5.17,3,18.60
,,,,L D Chandimal (lbw),,,,,,4,
,,,,N Dickwella (c †Sarfaraz Ahmed),,,,,,5,
3.0,16/10/2017,Sri Lanka,Sheikh Zayed Stadium,J D F Vandersay (c Ahmed Shehzad),8.0,1/37,,26.00,5.00,6,21.67
4.0,18/10/2017,Sri Lanka,Sheikh Zayed Stadium,,7.2,0/52,,33.33,5.46,,30.33
5.0,06/01/2018,New Zealand,Basin Reserve,K S Williamson (c Hasan Ali),10.0,1/68,,37.14,5.77,7,35.71
6.0,08/01/2018,New Zealand,Saxton Oval,,4.5,0/37,,41.29,5.96,,41.00
7.0,13/01/2018,New Zealand,University Oval,K S Williamson (c Mohammad Hafeez),10.0,3/51,,34.90,5.81,8,33.80
,,,,T W M Latham (c Shoaib Malik),,,,,,9,
,,,,T D Astle (c Fakhar Zaman),,,,,,10,
8.0,16/01/2018,New Zealand,Seddon Park,L R P L Taylor (lbw),9.0,1/59,,36.64,5.91,11,36.09
9.0,18/01/2018,New Zealand,Basin Reserve,M J Guptill (c Mohammad Hafeez),10.0,3/67,,33.07,6.01,12,33.14
,,,,C Munro (c Mohammad Nawaz),,,,,,13,
,,,,H M Nicholls (c Fakhar Zaman),,,,,,14,
