0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,02/07/2008,India,National Stadium (Karachi),Y K Pathan (c Nasir Jamshed),10.0,1/47,,60.00,4.70,1,47.00
2.0,04/07/2008,Bangladesh,National Stadium (Karachi),Abdur Razzak (b),8.2,2/19,,36.67,3.60,2,22.00
,,,,Farhad Reza (st †Sarfaraz Ahmed),,,,,,3,
3.0,14/11/2008,West Indies,Sheikh Zayed Stadium,N O Miller (c †Kamran Akmal),9.0,1/38,,41.00,3.80,4,26.00
4.0,16/11/2008,West Indies,Sheikh Zayed Stadium,,10.0,0/35,,56.00,3.72,,34.75
5.0,24/01/2009,Sri Lanka,Gaddafi Stadium,,9.0,0/51,,69.50,4.10,,47.50
6.0,22/04/2009,Australia,Dubai International Cricket Stadium,N M Hauritz (b),10.0,2/19,,56.33,3.71,5,34.83
,,,,M J Clarke (c †Kamran Akmal),,,,,,6,
7.0,24/04/2009,Australia,Dubai International Cricket Stadium,S R Watson (c Misbah-ul-Haq),7.0,1/37,,54.29,3.88,7,35.14
8.0,27/04/2009,Australia,Sheikh Zayed Stadium,,9.0,0/42,,62.00,3.98,,41.14
9.0,01/05/2009,Australia,Sheikh Zayed Stadium,,10.0,0/20,,70.57,3.74,,44.00
10.0,03/05/2009,Australia,Sheikh Zayed Stadium,M J North (st †Kamran Akmal),10.0,1/40,,69.25,3.77,8,43.50
11.0,30/07/2009,Sri Lanka,Rangiri Dambulla International Stadium,K C Sangakkara (c Shahid Afridi),10.0,1/40,,68.22,3.79,9,43.11
12.0,31/07/2009,Sri Lanka,Rangiri Dambulla International Stadium,,6.0,0/21,,72.22,3.78,,45.44
13.0,03/08/2009,Sri Lanka,Rangiri Dambulla International Stadium,W U Tharanga (lbw),9.0,2/54,,64.00,3.95,10,42.09
,,,,T T Samaraweera (c & b),,,,,,11,
14.0,07/08/2009,Sri Lanka,R Premadasa Stadium,S H T Kandamby (c Younis Khan),7.0,2/24,,57.38,3.92,12,37.46
,,,,C K Kapugedera (c Naved-ul-Hasan),,,,,,13,
15.0,09/08/2009,Sri Lanka,R Premadasa Stadium,,7.0,0/29,,60.62,3.93,,39.69
16.0,23/09/2009,West Indies,Wanderers Stadium,D J G Sammy (b),4.0,2/16,,54.13,3.93,14,35.47
,,,,T L Best (st †Kamran Akmal),,,,,,15,
17.0,26/09/2009,India,SuperSport Park,Harbhajan Singh (b),8.5,2/31,,50.88,3.91,16,33.12
,,,,S K Raina (lbw),,,,,,17,
18.0,30/09/2009,Australia,SuperSport Park,M G Johnson (b),10.0,2/31,,48.68,3.85,18,31.26
,,,,C J Ferguson (b),,,,,,19,
