0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,2,1,1,1,0,0,102*,102,,114.61,3,0
Australia,23,22,3,0,3,2,67,637,33.53,79.03,2,0
Bangladesh,7,7,1,0,3,0,59,238,39.67,84.40,2,0
Canada,1,1,0,0,0,0,48,48,48.00,70.59,0,0
England,9,9,0,0,1,0,50,230,25.56,70.77,2,1
India,7,7,0,0,0,2,29,107,15.29,73.29,6,1
Ireland,3,2,2,0,1,0,60*,80,,103.90,4,0
Kenya,1,1,0,0,1,0,71,71,71.00,136.54,1,0
New Zealand,15,14,0,0,1,2,55,260,18.57,77.38,8,0
South Africa,10,10,0,0,1,1,60,215,21.50,76.79,8,6
Sri Lanka,27,23,6,1,7,1,102*,772,45.41,97.35,23,3
United Arab Emirates,1,1,0,0,0,0,19,19,19.00,146.15,2,0
West Indies,12,10,4,0,2,0,59,346,57.67,100.58,11,2
Zimbabwe,3,2,0,0,0,0,36,69,34.50,68.32,5,0
Overall (14),121,110,17,2,20,8,102*,3194,34.34,86.05,77,13
