0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,13/02/2000,Sri Lanka,National Stadium (Karachi),b W P U J C Vaas,6,6,100.00,,6,6.00,100.00
2,13/04/2001,Sri Lanka,Sharjah Cricket Stadium,c M Muralitharan b C R D Fernando,4,5,80.00,,10,5.00,90.91
3,15/12/2005,England,National Stadium (Karachi),did not bat,-,-,-,,10,5.00,90.91
4,13/02/2006,India,Gaddafi Stadium,not out,1*,1,100.00,,11,5.50,91.67
5,16/02/2006,India,Multan Cricket Stadium,did not bat,-,-,-,,11,5.50,91.67
6,19/02/2006,India,National Stadium (Karachi),b Z Khan,10,12,83.33,,21,7.00,87.50
7,27/10/2006,South Africa,Punjab Cricket Association IS Bindra Stadium,c M Ntini b C K Langeveldt,27,37,72.97,,48,12.00,78.69
8,27/01/2008,Zimbabwe,Multan Cricket Stadium,not out,0*,0,-,,48,12.00,78.69
9,27/04/2009,Australia,Sheikh Zayed Stadium,b A Symonds,3,17,17.65,,51,10.20,65.38
10,01/05/2009,Australia,Sheikh Zayed Stadium,not out,23*,32,71.88,,74,14.80,67.27
11,03/05/2009,Australia,Sheikh Zayed Stadium,did not bat,-,-,-,,74,14.80,67.27
No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,No. of Innings Played = 8,,
