0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,06/11/2016,Hong Kong,Mission Road,Nadeem Ahmed (b),9.1,1/31,,55.00,3.38,1,31.00
2.0,08/11/2016,Hong Kong,Mission Road,,3.0,0/22,,73.00,4.36,,53.00
3.0,31/03/2017,United Arab Emirates,Sheikh Zayed Stadium,Rameez Shahzad (c T P Ura),10.0,1/71,,66.50,5.59,2,62.00
4.0,02/04/2017,United Arab Emirates,Sheikh Zayed Stadium,Muhammad Usman (c N Vanua),8.4,2/42,,46.25,5.38,3,41.50
,,,,Adnan Mufti (b),,,,,,4,
5.0,04/04/2017,United Arab Emirates,Sheikh Zayed Stadium,Ahmed Raza (st †J N T Vare),8.0,2/52,,38.83,5.61,5,36.33
,,,,Muhammad Usman (lbw),,,,,,6,
6.0,08/10/2017,Scotland,Amini Park,M H Cross (c M D Dai),6.2,2/35,,33.88,5.60,7,31.63
,,,,C B Sole (c V V Morea),,,,,,8,
7.0,25/11/2017,Scotland,Dubai International Cricket Stadium,K J Coetzer (c †J N T Vare),9.2,3/40,,29.73,5.38,9,26.64
,,,,C D Wallace (lbw),,,,,,10,
,,,,H G Munsey (c K Doriga),,,,,,11,
8.0,08/12/2017,Hong Kong,ICC Global Cricket Academy,Babar Hayat (st †J N T Vare),10.0,2/46,,29.77,5.26,12,26.08
,,,,Tanwir Afzal (c D Bau),,,,,,13,
9.0,17/03/2018,Hong Kong,Old Hararians Sports Club,,3.0,0/18,,31.15,5.29,,27.46
